Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Tse Toby Yee Lam,31163,JESSICA L1,Wong Kirstie Po Yui,30423,Hong Kong Cricket Club L1,10/10/2024,HK Squash Centre,1,0-3,Loss,Home
Wong Kirstie Po Yui,30423,Hong Kong Cricket Club L1,Tse Toby Yee Lam,31163,JESSICA L1,10/10/2024,HK Squash Centre,1,3-0,Win,Away
Leung Ka Huen,31882,JESSICA L1,Wai Sze Wing,31176,Hong Kong Cricket Club L1,10/10/2024,HK Squash Centre,2,3-1,Win,Home
Wai Sze Wing,31176,Hong Kong Cricket Club L1,Leung Ka Huen,31882,JESSICA L1,10/10/2024,HK Squash Centre,2,1-3,Loss,Away
Tang Helen,32404,JESSICA L1,Lo Pui Yin Chloe,32618,Hong Kong Cricket Club L1,10/10/2024,HK Squash Centre,3,3-0,Win,Home
Lo Pui Yin Chloe,32618,Hong Kong Cricket Club L1,Tang Helen,32404,JESSICA L1,10/10/2024,HK Squash Centre,3,0-3,Loss,Away
Cheng Nga Ching,29632,Kowloon Cricket Club L1A,Kwong Ena,32077,Kowloon Cricket Club L1B,10/10/2024,Kowloon Cricket Club,1,1-3,Loss,Home
Kwong Ena,32077,Kowloon Cricket Club L1B,Cheng Nga Ching,29632,Kowloon Cricket Club L1A,10/10/2024,Kowloon Cricket Club,1,3-1,Win,Away
Lam Po Ying,31022,Kowloon Cricket Club L1A,Lam Jannis Wing Hei,29160,Kowloon Cricket Club L1B,10/10/2024,Kowloon Cricket Club,2,3-0,Win,Home
Lam Jannis Wing Hei,29160,Kowloon Cricket Club L1B,Lam Po Ying,31022,Kowloon Cricket Club L1A,10/10/2024,Kowloon Cricket Club,2,0-3,Loss,Away
Liu Tsz Ling,28123,Kowloon Cricket Club L1A,Li Sum Yin,29877,Kowloon Cricket Club L1B,10/10/2024,Kowloon Cricket Club,3,3-2,Win,Home
Li Sum Yin,29877,Kowloon Cricket Club L1B,Liu Tsz Ling,28123,Kowloon Cricket Club L1A,10/10/2024,Kowloon Cricket Club,3,2-3,Loss,Away
