Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Yip Tsz Fung,28146,Hong Kong Football Club 1B,Au Lap Man Rex,30742,Kowloon Cricket Club 1B,21/11/2024,Hong Kong Football Club,1,0-3,Loss,Home
Au Lap Man Rex,30742,Kowloon Cricket Club 1B,Yip Tsz Fung,28146,Hong Kong Football Club 1B,21/11/2024,Hong Kong Football Club,1,3-0,Win,Away
Low Mark Chun Kit,33935,Hong Kong Football Club 1B,Luen Tsz Yu,29357,Kowloon Cricket Club 1B,21/11/2024,Hong Kong Football Club,2,3-0,Win,Home
Luen Tsz Yu,29357,Kowloon Cricket Club 1B,Low Mark Chun Kit,33935,Hong Kong Football Club 1B,21/11/2024,Hong Kong Football Club,2,0-3,Loss,Away
Lee Tin Hang,31713,Hong Kong Football Club 1B,Ng Ka Tsun Derek,31608,Kowloon Cricket Club 1B,21/11/2024,Hong Kong Football Club,3,3-0,Win,Home
Ng Ka Tsun Derek,31608,Kowloon Cricket Club 1B,Lee Tin Hang,31713,Hong Kong Football Club 1B,21/11/2024,Hong Kong Football Club,3,0-3,Loss,Away
Wong Chi Him,28658,Hong Kong Cricket Club 1,Lee Max Ho Yin,27346,Hong Kong Football Club 1A,21/11/2024,Hong Kong Cricket Club,1,3-0,Win,Home
Lee Max Ho Yin,27346,Hong Kong Football Club 1A,Wong Chi Him,28658,Hong Kong Cricket Club 1,21/11/2024,Hong Kong Cricket Club,1,0-3,Loss,Away
To Wai Lok,30276,Hong Kong Cricket Club 1,Cheng Justin Hong-Chen,31629,Hong Kong Football Club 1A,21/11/2024,Hong Kong Cricket Club,2,3-0,Win,Home
Cheng Justin Hong-Chen,31629,Hong Kong Football Club 1A,To Wai Lok,30276,Hong Kong Cricket Club 1,21/11/2024,Hong Kong Cricket Club,2,0-3,Loss,Away
Chiu Ho Fai,25295,Hong Kong Cricket Club 1,Lai Long Ching,31373,Hong Kong Football Club 1A,21/11/2024,Hong Kong Cricket Club,3,1-3,Loss,Home
Lai Long Ching,31373,Hong Kong Football Club 1A,Chiu Ho Fai,25295,Hong Kong Cricket Club 1,21/11/2024,Hong Kong Cricket Club,3,3-1,Win,Away
Tang Ming Hong,28463,Kowloon Cricket Club 1A,Ho Samuel Ka Hei,29856,FWD,21/11/2024,Kowloon Cricket Club,1,3-0,Win,Home
Ho Samuel Ka Hei,29856,FWD,Tang Ming Hong,28463,Kowloon Cricket Club 1A,21/11/2024,Kowloon Cricket Club,1,0-3,Loss,Away
Lam Matthew Shing Fung,30524,Kowloon Cricket Club 1A,Chan Russell Chi Ho,30075,FWD,21/11/2024,Kowloon Cricket Club,2,3-0,Win,Home
Chan Russell Chi Ho,30075,FWD,Lam Matthew Shing Fung,30524,Kowloon Cricket Club 1A,21/11/2024,Kowloon Cricket Club,2,0-3,Loss,Away
Wong Wing Kuen,31953,Kowloon Cricket Club 1A,Wong Joe Wai Chung,19907,FWD,21/11/2024,Kowloon Cricket Club,3,3-1,Win,Home
Wong Joe Wai Chung,19907,FWD,Wong Wing Kuen,31953,Kowloon Cricket Club 1A,21/11/2024,Kowloon Cricket Club,3,1-3,Loss,Away
