Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Wong Ken Tat Tai,27882,Twister 2,Sheppard Drew,26916,Kowloon Cricket Club 7,12/03/2025,Cornwall Street Squash Centre,1,0-3,Loss,Home
Sheppard Drew,26916,Kowloon Cricket Club 7,Wong Ken Tat Tai,27882,Twister 2,12/03/2025,Cornwall Street Squash Centre,1,3-0,Win,Away
Law King Wai,30444,Twister 2,Osmund Ronnie,11516,Kowloon Cricket Club 7,12/03/2025,Cornwall Street Squash Centre,2,2-3,Loss,Home
Osmund Ronnie,11516,Kowloon Cricket Club 7,Law King Wai,30444,Twister 2,12/03/2025,Cornwall Street Squash Centre,2,3-2,Win,Away
Lee Rachel Wing Yan,26973,Twister 2,Wong Wan Man,21028,Kowloon Cricket Club 7,12/03/2025,Cornwall Street Squash Centre,3,2-3,Loss,Home
Wong Wan Man,21028,Kowloon Cricket Club 7,Lee Rachel Wing Yan,26973,Twister 2,12/03/2025,Cornwall Street Squash Centre,3,3-2,Win,Away
Tsui Terence Hing Tai,23534,Twister 2,Chan Alex Siu Kun,4263,Kowloon Cricket Club 7,12/03/2025,Cornwall Street Squash Centre,4,3-1,Win,Home
Chan Alex Siu Kun,4263,Kowloon Cricket Club 7,Tsui Terence Hing Tai,23534,Twister 2,12/03/2025,Cornwall Street Squash Centre,4,1-3,Loss,Away
Chan Sze Long,33765,Twister 2,Wong Yin Chi Aurelius,35056,Kowloon Cricket Club 7,12/03/2025,Cornwall Street Squash Centre,5,3-0,Win,Home
Wong Yin Chi Aurelius,35056,Kowloon Cricket Club 7,Chan Sze Long,33765,Twister 2,12/03/2025,Cornwall Street Squash Centre,5,0-3,Loss,Away
Liu Chun Hin Heron,27474,Xavier,Hui Kwai Wah Monique,29587,Hong Kong Cricket Club 6,12/03/2025,Cornwall Street Squash Centre,1,3-1,Win,Home
Hui Kwai Wah Monique,29587,Hong Kong Cricket Club 6,Liu Chun Hin Heron,27474,Xavier,12/03/2025,Cornwall Street Squash Centre,1,1-3,Loss,Away
Chan Tat Wing,27911,Xavier,Litherland Benjamin,33472,Hong Kong Cricket Club 6,12/03/2025,Cornwall Street Squash Centre,2,3-1,Win,Home
Litherland Benjamin,33472,Hong Kong Cricket Club 6,Chan Tat Wing,27911,Xavier,12/03/2025,Cornwall Street Squash Centre,2,1-3,Loss,Away
Tam Kai Chung Hades,27416,Xavier,Bhandari Raghav,34661,Hong Kong Cricket Club 6,12/03/2025,Cornwall Street Squash Centre,3,3-2,Win,Home
Bhandari Raghav,34661,Hong Kong Cricket Club 6,Tam Kai Chung Hades,27416,Xavier,12/03/2025,Cornwall Street Squash Centre,3,2-3,Loss,Away
Chan Keiko Tsun Ling,26291,Xavier,Lai Kwok Wai Wilfred,25178,Hong Kong Cricket Club 6,12/03/2025,Cornwall Street Squash Centre,4,3-0,Win,Home
Lai Kwok Wai Wilfred,25178,Hong Kong Cricket Club 6,Chan Keiko Tsun Ling,26291,Xavier,12/03/2025,Cornwall Street Squash Centre,4,0-3,Loss,Away
Tse Joey Hiu Laam,27714,Xavier,Thomas Tristan Roland France,33195,Hong Kong Cricket Club 6,12/03/2025,Cornwall Street Squash Centre,5,0-3,Loss,Home
Thomas Tristan Roland France,33195,Hong Kong Cricket Club 6,Tse Joey Hiu Laam,27714,Xavier,12/03/2025,Cornwall Street Squash Centre,5,3-0,Win,Away
Chan Olivia,29170,Hong Kong Football Club 7B,Poon Ho Kar James,26416,The Squash Club 2,12/03/2025,Hong Kong Football Club,1,3-2,Win,Home
Poon Ho Kar James,26416,The Squash Club 2,Chan Olivia,29170,Hong Kong Football Club 7B,12/03/2025,Hong Kong Football Club,1,2-3,Loss,Away
Li Andre,34185,Hong Kong Football Club 7B,Yum Chun Ting,29088,The Squash Club 2,12/03/2025,Hong Kong Football Club,2,3-1,Win,Home
Yum Chun Ting,29088,The Squash Club 2,Li Andre,34185,Hong Kong Football Club 7B,12/03/2025,Hong Kong Football Club,2,1-3,Loss,Away
Yeung Himmy Cheuk Him,30409,Hong Kong Football Club 7B,Wong Hin Chor,26793,The Squash Club 2,12/03/2025,Hong Kong Football Club,3,3-0,Win,Home
Wong Hin Chor,26793,The Squash Club 2,Yeung Himmy Cheuk Him,30409,Hong Kong Football Club 7B,12/03/2025,Hong Kong Football Club,3,0-3,Loss,Away
Li Samuel Kwok Sing,27166,Hong Kong Football Club 7B,Choi Wilson Wai Sum,27040,The Squash Club 2,12/03/2025,Hong Kong Football Club,4,3-0,Win,Home
Choi Wilson Wai Sum,27040,The Squash Club 2,Li Samuel Kwok Sing,27166,Hong Kong Football Club 7B,12/03/2025,Hong Kong Football Club,4,0-3,Loss,Away
Ramachandran Arjun,33857,Hong Kong Football Club 7B,Lee Bruce Lap Tak,26662,The Squash Club 2,12/03/2025,Hong Kong Football Club,5,3-0,Win,Home
Lee Bruce Lap Tak,26662,The Squash Club 2,Ramachandran Arjun,33857,Hong Kong Football Club 7B,12/03/2025,Hong Kong Football Club,5,0-3,Loss,Away
