Player Name,Team,Opponent Name,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Sin Hoi Tung,North District Sports Association 2,Chen Haoyuan,M&M Squash,21/02/2025,Pei Ho Street Sports Centre,1,3-0,Win,Home
Chen Haoyuan,M&M Squash,Sin Hoi Tung,North District Sports Association 2,21/02/2025,Pei Ho Street Sports Centre,1,0-3,Loss,Away
Leung Yat Hei,North District Sports Association 2,Zhou Cheng  Yuan,M&M Squash,21/02/2025,Pei Ho Street Sports Centre,2,3-1,Win,Home
Zhou Cheng  Yuan,M&M Squash,Leung Yat Hei,North District Sports Association 2,21/02/2025,Pei Ho Street Sports Centre,2,1-3,Loss,Away
Chan Hong Lam,North District Sports Association 2,Yim Yu Tak,M&M Squash,21/02/2025,Pei Ho Street Sports Centre,3,3-0,Win,Home
Yim Yu Tak,M&M Squash,Chan Hong Lam,North District Sports Association 2,21/02/2025,Pei Ho Street Sports Centre,3,0-3,Loss,Away
Dogra Vijendra Singh Balbirsing,North District Sports Association 2,Wong Marcus,M&M Squash,21/02/2025,Pei Ho Street Sports Centre,4,3-0,Win,Home
Wong Marcus,M&M Squash,Dogra Vijendra Singh Balbirsing,North District Sports Association 2,21/02/2025,Pei Ho Street Sports Centre,4,0-3,Loss,Away
Tsang Man Chiu,North District Sports Association 2,Wong Ho Yi,M&M Squash,21/02/2025,Pei Ho Street Sports Centre,5,3-0,Win,Home
Wong Ho Yi,M&M Squash,Tsang Man Chiu,North District Sports Association 2,21/02/2025,Pei Ho Street Sports Centre,5,0-3,Loss,Away
Leung Ka Luen Wilson,Squashathon PLZ,Tse Ray,Royal Hong Kong Yacht Club Div 13,21/02/2025,Cornwall Street Squash Centre,1,3-0,Win,Home
Tse Ray,Royal Hong Kong Yacht Club Div 13,Leung Ka Luen Wilson,Squashathon PLZ,21/02/2025,Cornwall Street Squash Centre,1,0-3,Loss,Away
Chow Ka Lun,Squashathon PLZ,Clayton Iain Michael,Royal Hong Kong Yacht Club Div 13,21/02/2025,Cornwall Street Squash Centre,2,1-3,Loss,Home
Clayton Iain Michael,Royal Hong Kong Yacht Club Div 13,Chow Ka Lun,Squashathon PLZ,21/02/2025,Cornwall Street Squash Centre,2,3-1,Win,Away
Chung Wing Yin,Squashathon PLZ,Yip Benjamin,Royal Hong Kong Yacht Club Div 13,21/02/2025,Cornwall Street Squash Centre,3,0-3,Loss,Home
Yip Benjamin,Royal Hong Kong Yacht Club Div 13,Chung Wing Yin,Squashathon PLZ,21/02/2025,Cornwall Street Squash Centre,3,3-0,Win,Away
Chan Hin Chiu,Squashathon PLZ,Zirah Pierre-Alexis Joachim,Royal Hong Kong Yacht Club Div 13,21/02/2025,Cornwall Street Squash Centre,4,0-3,Loss,Home
Zirah Pierre-Alexis Joachim,Royal Hong Kong Yacht Club Div 13,Chan Hin Chiu,Squashathon PLZ,21/02/2025,Cornwall Street Squash Centre,4,3-0,Win,Away
