Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Cheung Hei Yu,Energy Squash Club 1,25.88,207,8,7,1,13B,0.875
2,Chung Shun Yeung,i-Mask Advance Squash Club 5,24.75,297,12,11,1,13B,0.9166666666666666
3,Lau Chun Kin,Electrify Squash Div 13,24.27,267,11,10,1,13B,0.9090909090909091
4,Lee Yin Fung,Kinetic 4,24.0,336,14,12,2,13B,0.8571428571428571
5,Lo Hoi Fung Douglas,Electrify Squash Div 13,23.36,327,14,14,0,13B,1.0
6,Man Yu Hin,X-Alpha 5,23.0,276,12,10,2,13B,0.8333333333333334
7,Szeto Jonas,Fusion Squash Club 2,22.85,297,13,10,3,13B,0.7692307692307693
8,Tam Ming Wai,Energy Squash Club 1,22.67,204,9,8,1,13B,0.8888888888888888
9,Yiu Cheuk Fung,Sha Tin 6,22.57,474,21,16,5,13B,0.7619047619047619
10,Ho Kwan Ho,Electrify Squash Div 13,21.9,219,10,8,2,13B,0.8
11,Pun William,Fusion Squash Club 2,21.75,261,12,10,2,13B,0.8333333333333334
12,Lee Ching Long,Electrify Squash Div 13,21.6,108,5,4,1,13B,0.8
13,Liu Yang,Fusion Squash Club 2,21.0,147,7,6,1,13B,0.8571428571428571
13,Tse Tin Yui,X-Alpha 5,21.0,210,10,6,4,13B,0.6
15,Lui Paktong Lilian,HKIS Div 13,21.0,105,5,5,0,13B,1.0
16,Tse Tin Po,Electrify Squash Div 13,21.0,105,5,4,1,13B,0.8
17,So Hau Yi,Energy Squash Club 1,20.67,186,9,9,0,13B,1.0
18,Zhang Ting Ze,HKIS Div 13,20.5,123,6,3,3,13B,0.5
19,Bei Chi Ting,Energy Squash Club 2,20.25,243,12,11,1,13B,0.9166666666666666
20,Yam Tsz Hei,Sha Tin 6,20.17,363,18,14,4,13B,0.7777777777777778
21,Tam Yat Yin,Yuen Long District Sports Association Limited,19.88,159,8,4,4,13B,0.5
22,Chiba Fouad,SocGen Squash,19.67,354,18,8,10,13B,0.4444444444444444
23,Leung Long Hin,Electrify Squash Div 13,19.5,195,10,9,1,13B,0.9
24,Jiang Ziwei Forrest,i-Mask Advance Squash Club 5,19.29,135,7,4,3,13B,0.5714285714285714
25,Ma Tsz Wun,X-Alpha 5,19.2,96,5,5,0,13B,1.0
26,Lee Nok Tin,Energy Squash Club 2,19.09,210,11,9,2,13B,0.8181818181818182
27,Lau Cheuk Yan,Happy Squash 4,19.0,399,21,15,6,13B,0.7142857142857143
28,Tang Yik Lam Cherise,X-Alpha 5,18.75,225,12,9,3,13B,0.75
29,Wong Jace,Energy Squash Club 2,18.67,168,9,6,3,13B,0.6666666666666666
30,Lau Sze Tung,Happy Squash 4,18.15,363,20,8,12,13B,0.4
31,Zhao Ling Ban,Energy Squash Club 1,18.0,126,7,7,0,13B,1.0
32,Bai Bowen,Electrify Squash Div 13,17.8,267,15,13,2,13B,0.8666666666666667
33,Cheung Ryan Hayden,Energy Squash Club 2,17.62,141,8,5,3,13B,0.625
