Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Sha Steven,30809,Ladies Recreation Club M2B,Soo Euan Tsung Liang,27573,Ladies Recreation Club M2A,19/02/2025,Ladies Recreation Club,1,0-3,Loss,Home
Soo Euan Tsung Liang,27573,Ladies Recreation Club M2A,Sha Steven,30809,Ladies Recreation Club M2B,19/02/2025,Ladies Recreation Club,1,3-0,Win,Away
Swan Owen,32975,Ladies Recreation Club M2B,Leung Chi On,31982,Ladies Recreation Club M2A,19/02/2025,Ladies Recreation Club,2,1-3,Loss,Home
Leung Chi On,31982,Ladies Recreation Club M2A,Swan Owen,32975,Ladies Recreation Club M2B,19/02/2025,Ladies Recreation Club,2,3-1,Win,Away
Joel Neoh Eu Jin,34942,Ladies Recreation Club M2B,Kwok Charmaine,32182,Ladies Recreation Club M2A,19/02/2025,Ladies Recreation Club,3,3-1,Win,Home
Kwok Charmaine,32182,Ladies Recreation Club M2A,Joel Neoh Eu Jin,34942,Ladies Recreation Club M2B,19/02/2025,Ladies Recreation Club,3,1-3,Loss,Away
Adjemian Nicolas,32347,Ladies Recreation Club M2B,Amjad Nauman,33226,Ladies Recreation Club M2A,19/02/2025,Ladies Recreation Club,4,1-3,Loss,Home
Amjad Nauman,33226,Ladies Recreation Club M2A,Adjemian Nicolas,32347,Ladies Recreation Club M2B,19/02/2025,Ladies Recreation Club,4,3-1,Win,Away
Barmont Alexandre,31125,Hong Kong Football Club M2B,Pun Teddy,33217,Hong Kong Football Club M2A,19/02/2025,Hong Kong Football Club,1,0-3,Loss,Home
Pun Teddy,33217,Hong Kong Football Club M2A,Barmont Alexandre,31125,Hong Kong Football Club M2B,19/02/2025,Hong Kong Football Club,1,3-0,Win,Away
Nihalani Manoj,25742,Hong Kong Football Club M2B,Mountford Graham,32160,Hong Kong Football Club M2A,19/02/2025,Hong Kong Football Club,2,3-0,Win,Home
Mountford Graham,32160,Hong Kong Football Club M2A,Nihalani Manoj,25742,Hong Kong Football Club M2B,19/02/2025,Hong Kong Football Club,2,0-3,Loss,Away
Tjia Jonathan,33660,Hong Kong Football Club M2B,Ng Paul Lap Yan,27257,Hong Kong Football Club M2A,19/02/2025,Hong Kong Football Club,3,3-1,Win,Home
Ng Paul Lap Yan,27257,Hong Kong Football Club M2A,Tjia Jonathan,33660,Hong Kong Football Club M2B,19/02/2025,Hong Kong Football Club,3,1-3,Loss,Away
Gates Stuart,32455,Hong Kong Football Club M2B,Tanner Julian,28057,Hong Kong Football Club M2A,19/02/2025,Hong Kong Football Club,4,1-3,Loss,Home
Tanner Julian,28057,Hong Kong Football Club M2A,Gates Stuart,32455,Hong Kong Football Club M2B,19/02/2025,Hong Kong Football Club,4,3-1,Win,Away
