Player Name,HKS_No,Team,Opponent Name,Opponent_HKS_No,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away,Division,Pre Winner Rating,Post Winner Rating,Pre Loser Rating,Post Loser Rating,Winner Matches Played,Loser Matches Played,rel_diff
Lin Chun Wah,29885.0,Alpha CUHK,Ng Ngo Ching Matthew,30717.0,Latecomers,2024-10-02,HK Squash Centre,1,3-0,Win,Away,12,960.0,1008.9599999999999,960.0,911.04,1,1,5.099999999999992
Cheung Alan Wing Lun,25168.0,Friend Club,Wright Martin,29202.0,Hong Kong Football Club 9,2024-10-02,Cornwall Street Squash Centre,1,3-2,Win,Home,9,1680.0,1694.2434782608696,1540.0000000000002,1526.9434782608698,1,1,0.847826086956521
Chu Raymond Wai Man,25974.0,Friend Club,Murray David,27253.0,Hong Kong Football Club 9,2024-10-02,Cornwall Street Squash Centre,2,3-2,Win,Home,9,1586.6666666666663,1589.5226666666663,1330.0,1327.606,1,1,0.1799999999999997
Mong Hoi Ching Norman,26529.0,Friend Club,Clutterbuck Elliott Letlik,34997.0,Hong Kong Football Club 9,2024-10-02,Cornwall Street Squash Centre,3,3-0,Win,Home,9,1493.3333333333333,1550.5102824858757,1260.0,1211.7569491525423,1,1,3.828813559322037
Ip Chun Keung,25979.0,Friend Club,Chan Gordon Yiu Cheong,27589.0,Hong Kong Football Club 9,2024-10-02,Cornwall Street Squash Centre,4,3-2,Win,Home,9,1400.0,1403.972972972973,1190.0,1186.622972972973,1,1,0.2837837837837794
Wong Ho Sang,30360.0,Friend Club,Wei Mia Lynn,34140.0,Hong Kong Football Club 9,2024-10-02,Cornwall Street Squash Centre,5,3-1,Win,Home,9,1306.6666666666667,1330.7897435897437,1120.0,1099.323076923077,1,1,1.846153846153848
Ko Toby Ho Yin,28189.0,HKPF Squash Team,Wu Ka Ho,34383.0,Kwai Tsing District Squash Club,2024-10-02,Cornwall Street Squash Centre,1,3-0,Win,Home,9,1680.0,1765.6799999999998,1680.0,1594.32,1,1,5.09999999999999
Lau Shing Chung Simon,19777.0,HKPF Squash Team,Ho Gary Ming Fai,23479.0,Kwai Tsing District Squash Club,2024-10-02,Cornwall Street Squash Centre,2,3-0,Win,Home,9,1609.9999999999998,1690.3472262773719,1586.6666666666663,1507.4838929440386,1,1,4.990510948905101
Chan Keiko Tsun Ling,26291.0,Xavier,Lee Rachel Wing Yan,26973.0,Twister 2,2024-10-02,Cornwall Street Squash Centre,3,3-1,Win,Away,7B,1920.0,1968.3096774193548,1800.0,1754.7096774193549,1,1,2.516129032258062
Cheung Tsz Loi Linus,31484.0,Physical Chess 2,Yum Chun Ting,29088.0,The Squash Club 2,2024-10-02,Cornwall Street Squash Centre,1,3-0,Win,Home,7B,2160.0,2263.2663829787234,2070.0,1971.0363829787234,1,1,4.780851063829788
Wong Wai Lap,33402.0,Physical Chess 2,Lee Bruce Lap Tak,26662.0,The Squash Club 2,2024-10-02,Cornwall Street Squash Centre,4,3-1,Win,Home,7B,1767.2727272727273,1822.7229357798165,1800.0,1743.5229357798166,1,1,3.13761467889908
Wong Hin Chor,26793.0,The Squash Club 2,Dai Kwun San Harry,29167.0,Physical Chess 2,2024-10-02,Cornwall Street Squash Centre,2,3-1,Win,Away,7B,1980.0,2047.7493975903615,2094.5454545454545,2022.876670317634,1,1,3.421686746987953
Choi Wilson Wai Sum,27040.0,The Squash Club 2,Wong Siu Sun,32736.0,Physical Chess 2,2024-10-02,Cornwall Street Squash Centre,3,3-1,Win,Away,7B,1890.0,1942.3384615384616,1832.7272727272723,1781.9748251748247,1,1,2.769230769230773
Chan Nicky Wai Yi,29047.0,The Squash Club 2,Cheung Wan Lee,31642.0,Physical Chess 2,2024-10-02,Cornwall Street Squash Centre,5,3-2,Win,Away,7B,1620.0,1640.5615384615387,1570.9090909090908,1550.9706293706292,1,1,1.269230769230784
Chan Sze Long,33765.0,Twister 2,Chiu Tsz Chung,27407.0,Xavier,2024-10-02,Cornwall Street Squash Centre,5,3-1,Win,Home,7B,1530.0,1575.1475409836066,1520.0,1475.1475409836066,1,1,2.9508196721311526
Liu Chun Hin Heron,27474.0,Xavier,Wong Ken Tat Tai,27882.0,Twister 2,2024-10-02,Cornwall Street Squash Centre,1,3-0,Win,Away,7B,2160.0,2270.16,2160.0,2049.8399999999997,1,1,5.099999999999993
Tam Kai Chung Hades,27416.0,Xavier,Law King Wai,30444.0,Twister 2,2024-10-02,Cornwall Street Squash Centre,2,3-0,Win,Away,7B,2000.0,2100.492462311558,1980.0,1880.5124623115578,1,1,5.024623115577902
Yim Man Ching,32765.0,Kowloon Cricket Club 9,Bedouillat Vincent,33014.0,Centre Squash,2024-10-02,Kowloon Cricket Club,1,3-1,Win,Home,9,1680.0,1730.4,1680.0,1629.6,1,1,3.0000000000000053
Wan Pauline Yuen Ping,26325.0,Kowloon Cricket Club 9,Chevaux Alexander,34489.0,Centre Squash,2024-10-02,Kowloon Cricket Club,2,3-1,Win,Home,9,1629.090909090909,1670.0809384164222,1527.2727272727273,1488.8445747800586,1,1,2.5161290322580654
Choy Yuk Kwong Donnie,3206.0,Kowloon Cricket Club 9,Ren Jean-Philippe,34928.0,Centre Squash,2024-10-02,Kowloon Cricket Club,3,3-1,Win,Home,9,1578.181818181818,1613.490292758089,1425.4545454545453,1393.5630200308165,1,1,2.2372881355932095
Janes Gareth,28987.0,Hong Kong Cricket Club M2B,Caveney Barry John,32896.0,Hong Kong Cricket Club M2A,2024-10-02,Hong Kong Cricket Club,2,3-1,Win,Away,M2,2109.090909090909,2182.9090909090905,2254.5454545454545,2175.6363636363635,1,1,3.4999999999999867
Heritage Jonathan Paul,32639.0,Hong Kong Cricket Club M2B,Montefiore Alexander,33776.0,Hong Kong Cricket Club M2A,2024-10-02,Hong Kong Cricket Club,4,3-0,Win,Away,M2,1672.7272727272723,1760.1993730407519,1701.8181818181818,1612.8248275862068,1,1,5.229310344827585
Pun Teddy,33217.0,Hong Kong Football Club M2A,Nihalani Manoj,25742.0,Hong Kong Football Club M2B,2024-10-02,Hong Kong Football Club,1,3-0,Win,Home,M2,3428.5714285714284,3500.571428571428,2285.714285714286,2237.714285714286,1,1,2.0999999999999868
Tjia Jonathan,33660.0,Hong Kong Football Club M2B,Lam Allen Kar Fai,29546.0,Hong Kong Football Club M2A,2024-10-02,Hong Kong Football Club,2,3-1,Win,Away,M2,2254.5454545454545,2314.939044481054,2160.0,2102.1390444810545,1,1,2.678747940691923
Gates Stuart,32455.0,Hong Kong Football Club M2B,Ng Paul Lap Yan,27257.0,Hong Kong Football Club M2A,2024-10-02,Hong Kong Football Club,3,3-1,Win,Away,M2,2500.0,2533.3333333333335,2000.0,1973.3333333333335,1,1,1.3333333333333393
Lo Kenneth Kin Cheung,28913.0,Hong Kong Football Club M2B,Ladharam Sunesh,30483.0,Hong Kong Football Club M2A,2024-10-02,Hong Kong Football Club,4,3-2,Win,Away,M2,2109.090909090909,2104.223776223776,1672.7272727272723,1676.5874125874122,1,1,-0.23076923076923817
Soo Euan Tsung Liang,27573.0,Ladies Recreation Club M2A,Sha Steven,30809.0,Ladies Recreation Club M2B,2024-10-02,Ladies Recreation Club,1,3-0,Win,Home,M2,4800.0,4789.316129032259,2285.714285714286,2290.8018433179727,1,1,-0.22258064516127735
Swan Owen,32975.0,Ladies Recreation Club M2B,Leung Chi On,31982.0,Ladies Recreation Club M2A,2024-10-02,Ladies Recreation Club,2,3-2,Win,Away,M2,1440.0,1510.6306748466259,2285.714285714286,2173.6021034180544,1,1,4.904907975460131
Adjemian Nicolas,32347.0,Ladies Recreation Club M2B,Amjad Nauman,33226.0,Ladies Recreation Club M2A,2024-10-02,Ladies Recreation Club,3,3-0,Win,Away,M2,2000.0,2106.2253521126763,2057.142857142857,1947.8824949698185,1,1,5.311267605633816
Grewal Harpreet,35024.0,Hong Kong Cricket Club M2A,Olsen Sven,32493.0,Hong Kong Cricket Club M2B,2024-10-02,Hong Kong Cricket Club,3,3-0,Win,Home,M2,2133.333333333333,2223.4682701944275,1898.181818181818,1817.982209588367,1,1,4.225075165363806
Cheung Coco Oi Yan,26154.0,Kowloon Cricket Club 9,Curtil Ludovic,34929.0,Centre Squash,2024-10-02,Kowloon Cricket Club,4,3-1,Win,Home,9,1527.2727272727273,1547.6363636363637,1221.8181818181818,1205.5272727272727,1,1,1.3333333333333415
Yip Kent Chi Bun,25547.0,Kowloon Cricket Club 9,Raffo Jason Kevin,34930.0,Centre Squash,2024-10-02,Kowloon Cricket Club,5,3-2,Win,Home,9,1476.3636363636365,1472.9566433566433,1170.9090909090908,1173.6111888111886,1,1,-0.2307692307692412
Tsang Yan Kiu,31880.0,Kwai Tsing District Squash Club,Chan Po Sing,7420.0,HKPF Squash Team,2024-10-02,Cornwall Street Squash Centre,3,3-0,Win,Away,9,1493.3333333333333,1556.5346556473828,1330.0,1273.7113223140495,1,1,4.232231404958675
Li Keung Shing,23473.0,Kwai Tsing District Squash Club,Siu William Chak Man,26273.0,HKPF Squash Team,2024-10-02,Cornwall Street Squash Centre,4,3-0,Win,Away,9,1400.0,1454.372972972973,1190.0,1143.782972972973,1,1,3.883783783783786
Lee Leo Chi Kin,27894.0,Kwai Tsing District Squash Club,Mak Derek Kam Yuen,7883.0,HKPF Squash Team,2024-10-02,Cornwall Street Squash Centre,5,3-0,Win,Away,9,1306.6666666666667,1358.2297435897437,1120.0,1075.803076923077,1,1,3.946153846153852
Trivedi Anirudh,32217.0,i-Mask Advance Squash Club 3,Andersson Greger,27672.0,The Best Group 2,2024-10-02,Cornwall Street Squash Centre,1,3-0,Win,Away,9,1680.0,1765.6799999999998,1680.0,1594.32,1,1,5.09999999999999
Ho Helen Sin Man,27854.0,i-Mask Advance Squash Club 3,Wong Rames Wang Lung,24280.0,The Best Group 2,2024-10-02,Cornwall Street Squash Centre,2,3-1,Win,Away,9,1586.6666666666663,1635.262482566248,1600.0,1550.9958158995817,1,1,3.062761506276164
Kong Yuk Hang Jason,32043.0,i-Mask Advance Squash Club 3,Chan Cheuk Kee,31383.0,The Best Group 2,2024-10-02,Cornwall Street Squash Centre,4,3-2,Win,Away,9,1213.3333333333337,1247.0810720268012,1439.9999999999998,1399.9477386934673,1,1,2.781407035175888
Lee Wing Lam,30753.0,i-Mask Advance Squash Club 3,Ho Sung Hon,34912.0,The Best Group 2,2024-10-02,Cornwall Street Squash Centre,5,3-1,Win,Away,9,1120.0,1164.8,1280.0,1228.8,1,1,3.999999999999996
Bajaj Prateek,34110.0,Hong Kong Cricket Club M2A,Tsang Stephen Chi Pon,29448.0,Hong Kong Cricket Club M2B,2024-10-02,Hong Kong Cricket Club,1,3-0,Win,Home,M2,3927.272727272727,4067.452319109462,3200.0,3085.7795918367347,1,1,3.569387755102054
Leung Eugene Chi Hang,27774.0,The Best Group 2,Hegde Vishal,34293.0,i-Mask Advance Squash Club 3,2024-10-02,Cornwall Street Squash Centre,3,3-2,Win,Home,9,1519.9999999999998,1525.5924528301882,1306.6666666666667,1301.8591194968553,1,1,0.3679245283018717
