Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Ward Andrew,30509,Hong Kong Football Club M1B,Ho Eric Chu Him,29547,Hong Kong Football Club M1A,07/11/2024,Hong Kong Football Club,1,1-3,Loss,Home
Ho Eric Chu Him,29547,Hong Kong Football Club M1A,Ward Andrew,30509,Hong Kong Football Club M1B,07/11/2024,Hong Kong Football Club,1,3-1,Win,Away
Chiu Ho Ming,25294,Hong Kong Football Club M1B,Lau Dick Siu Wai,25832,Hong Kong Football Club M1A,07/11/2024,Hong Kong Football Club,2,3-2,Win,Home
Lau Dick Siu Wai,25832,Hong Kong Football Club M1A,Chiu Ho Ming,25294,Hong Kong Football Club M1B,07/11/2024,Hong Kong Football Club,2,2-3,Loss,Away
Hibberd Christian,32018,Hong Kong Football Club M1B,Hartley Alexander,34570,Hong Kong Football Club M1A,07/11/2024,Hong Kong Football Club,3,0-3,Loss,Home
Hartley Alexander,34570,Hong Kong Football Club M1A,Hibberd Christian,32018,Hong Kong Football Club M1B,07/11/2024,Hong Kong Football Club,3,3-0,Win,Away
Kwong Anson Yu Shun,24673,Hong Kong Cricket Club M1B,Chiu Ho Fai,25295,Hong Kong Cricket Club M1A,07/11/2024,Hong Kong Cricket Club,1,3-0,Win,Home
Chiu Ho Fai,25295,Hong Kong Cricket Club M1A,Kwong Anson Yu Shun,24673,Hong Kong Cricket Club M1B,07/11/2024,Hong Kong Cricket Club,1,0-3,Loss,Away
Genever Peter John,33627,Hong Kong Cricket Club M1B,Chiu Raymond Shung Hei,25313,Hong Kong Cricket Club M1A,07/11/2024,Hong Kong Cricket Club,2,1-3,Loss,Home
Chiu Raymond Shung Hei,25313,Hong Kong Cricket Club M1A,Genever Peter John,33627,Hong Kong Cricket Club M1B,07/11/2024,Hong Kong Cricket Club,2,3-1,Win,Away
Head Phil,26831,Hong Kong Cricket Club M1B,Gray Jonathan,32271,Hong Kong Cricket Club M1A,07/11/2024,Hong Kong Cricket Club,3,3-0,Win,Home
Gray Jonathan,32271,Hong Kong Cricket Club M1A,Head Phil,26831,Hong Kong Cricket Club M1B,07/11/2024,Hong Kong Cricket Club,3,0-3,Loss,Away
