Player Name,Team,Opponent Name,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Kumar Raj,Hong Kong Cricket Club M3,Fu Ivan Fuk Cheong,Titlows Squash Team,06/03/2025,Hong Kong Cricket Club,1,0-3,Loss,Home
Fu Ivan Fuk Cheong,Titlows Squash Team,Kumar Raj,Hong Kong Cricket Club M3,06/03/2025,Hong Kong Cricket Club,1,3-0,Win,Away
Dickson Robert,Hong Kong Cricket Club M3,Chan Raymond Tsan Fai,Titlows Squash Team,06/03/2025,Hong Kong Cricket Club,2,3-0,Win,Home
Chan Raymond Tsan Fai,Titlows Squash Team,Dickson Robert,Hong Kong Cricket Club M3,06/03/2025,Hong Kong Cricket Club,2,0-3,Loss,Away
Griffiths John David,Hong Kong Cricket Club M3,Au Ming Chung Sampson,Titlows Squash Team,06/03/2025,Hong Kong Cricket Club,3,0-3,Loss,Home
Au Ming Chung Sampson,Titlows Squash Team,Griffiths John David,Hong Kong Cricket Club M3,06/03/2025,Hong Kong Cricket Club,3,3-0,Win,Away
Poole-Wilson Michael,Hong Kong Cricket Club M3,Lo Wai Kiu Bobby,Titlows Squash Team,06/03/2025,Hong Kong Cricket Club,4,3-0,Win,Home
Lo Wai Kiu Bobby,Titlows Squash Team,Poole-Wilson Michael,Hong Kong Cricket Club M3,06/03/2025,Hong Kong Cricket Club,4,0-3,Loss,Away
Koeman Arthur,Hong Kong Cricket Club M3,Yung Kai Sing,Titlows Squash Team,06/03/2025,Hong Kong Cricket Club,5,3-1,Win,Home
Yung Kai Sing,Titlows Squash Team,Koeman Arthur,Hong Kong Cricket Club M3,06/03/2025,Hong Kong Cricket Club,5,1-3,Loss,Away
Tanner Julian,Hong Kong Football Club M3B,Kundamal Dhiraj,Kowloon Cricket Club M3,06/03/2025,Hong Kong Football Club,1,3-0,Win,Home
Kundamal Dhiraj,Kowloon Cricket Club M3,Tanner Julian,Hong Kong Football Club M3B,06/03/2025,Hong Kong Football Club,1,0-3,Loss,Away
Padgaonkar Ashwin,Hong Kong Football Club M3B,Detaramani Sunil,Kowloon Cricket Club M3,06/03/2025,Hong Kong Football Club,2,1-3,Loss,Home
Detaramani Sunil,Kowloon Cricket Club M3,Padgaonkar Ashwin,Hong Kong Football Club M3B,06/03/2025,Hong Kong Football Club,2,3-1,Win,Away
Mulchand Rajesh,Hong Kong Football Club M3B,Bachani Vinay Suresh,Kowloon Cricket Club M3,06/03/2025,Hong Kong Football Club,3,3-0,Win,Home
Bachani Vinay Suresh,Kowloon Cricket Club M3,Mulchand Rajesh,Hong Kong Football Club M3B,06/03/2025,Hong Kong Football Club,3,0-3,Loss,Away
