Player Name,Team,Opponent Name,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Ho Tomato Tze Lok,Hong Kong Football Club L1,Tse Toby Yee Lam,JESSICA L1,20/02/2025,Hong Kong Football Club,1,3-1,Win,Home
Tse Toby Yee Lam,JESSICA L1,Ho Tomato Tze Lok,Hong Kong Football Club L1,20/02/2025,Hong Kong Football Club,1,1-3,Loss,Away
Fung Ching Hei,Hong Kong Football Club L1,Tang Helen,JESSICA L1,20/02/2025,Hong Kong Football Club,2,3-0,Win,Home
Tang Helen,JESSICA L1,Fung Ching Hei,Hong Kong Football Club L1,20/02/2025,Hong Kong Football Club,2,0-3,Loss,Away
Tam Cho Nga Mariko,Hong Kong Football Club L1,Chung Yee Ling Elaine,JESSICA L1,20/02/2025,Hong Kong Football Club,3,1-3,Loss,Home
Chung Yee Ling Elaine,JESSICA L1,Tam Cho Nga Mariko,Hong Kong Football Club L1,20/02/2025,Hong Kong Football Club,3,3-1,Win,Away
Tong Tsz Wing,Kowloon Cricket Club L1B,Wong Kirstie Po Yui,Hong Kong Cricket Club L1,20/02/2025,Kowloon Cricket Club,1,3-0,Win,Home
Wong Kirstie Po Yui,Hong Kong Cricket Club L1,Tong Tsz Wing,Kowloon Cricket Club L1B,20/02/2025,Kowloon Cricket Club,1,0-3,Loss,Away
Cheung Tsz Ching,Kowloon Cricket Club L1B,Wai Sze Wing,Hong Kong Cricket Club L1,20/02/2025,Kowloon Cricket Club,2,3-0,Win,Home
Wai Sze Wing,Hong Kong Cricket Club L1,Cheung Tsz Ching,Kowloon Cricket Club L1B,20/02/2025,Kowloon Cricket Club,2,0-3,Loss,Away
Cheng Pik Ching,Kowloon Cricket Club L1B,Lo Pui Yin Chloe,Hong Kong Cricket Club L1,20/02/2025,Kowloon Cricket Club,3,3-2,Win,Home
Lo Pui Yin Chloe,Hong Kong Cricket Club L1,Cheng Pik Ching,Kowloon Cricket Club L1B,20/02/2025,Kowloon Cricket Club,3,2-3,Loss,Away
