Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
71,Lui Ka Him Michael,i-Mask Advance Squash Club 1,7.2,72,10,1,9,5,0.1
72,Au Pak Lun,Hong Kong Football Club 5B,7.0,42,6,1,5,5,0.16666666666666666
73,Leung Ka Chun,Uncle,5.67,51,9,3,6,5,0.3333333333333333
74,Tam Raymond Kin Wai,Squashathon,5.14,36,7,0,7,5,0.0
75,Ho Wai Kit Simon,i-Mask Advance Squash Club 1,5.0,45,9,2,7,5,0.2222222222222222
76,Fung Eric Kit Wing,Uncle,3.25,39,12,1,11,5,0.08333333333333333
,Leung Chi Kai,i-Mask Advance Squash Club 1,22.5,45,2,2,0,5,1.0
,Li Yuen Yau,X-Alpha 2,21.0,21,1,1,0,5,1.0
,Chan Siu Ting,Physical Chess 1,21.0,21,1,1,0,5,1.0
,Wong Ching Nam,i-Mask Advance Squash Club 1,18.0,36,2,2,0,5,1.0
,Chan George Yee Lee,Hong Kong Football Club 5B,18.0,18,1,1,0,5,1.0
,Castano Vargas Santiago,Physical Chess 1,16.0,48,3,1,2,5,0.3333333333333333
,Au Siu Fai,Hong Kong Football Club 5B,15.0,30,2,2,0,5,1.0
,Yau Yeung,X-Alpha 2,15.0,30,2,2,0,5,1.0
,Tjia Jonathan,Hong Kong Football Club 5B,15.0,30,2,2,0,5,1.0
,Tanner Julian,Hong Kong Football Club 5A,15.0,15,1,1,0,5,1.0
,* Leung Ka Long,i-Mask Advance Squash Club 1,15.0,15,1,1,0,5,1.0
,Chan Ying Lun,Squashathon,15.0,15,1,1,0,5,1.0
,Li Yuen Man,X-Alpha 2,15.0,15,1,1,0,5,1.0
,Ooi Hui Hoon,Hong Kong Football Club 5B,15.0,15,1,1,0,5,1.0
,Law Ka To,Happy Squash 2,15.0,15,1,1,0,5,1.0
,Chow Hester Yuk Ting,i-Mask Advance Squash Club 1,13.5,27,2,2,0,5,1.0
,Chan Martin Lok Yin,i-Mask Advance Squash Club 1,12.75,51,4,0,4,5,0.0
,Lui Ka Ho Vincent,Hong Kong Football Club 5A,12.0,24,2,2,0,5,1.0
,Lui Jason Chun Shing,The Squash Club 1,12.0,36,3,2,1,5,0.6666666666666666
,Li Clarissa,Happy Squash 2,11.0,33,3,2,1,5,0.6666666666666666
,Mountford Graham,Hong Kong Football Club 5B,10.5,21,2,1,1,5,0.5
,Tang Lok Yin,Hong Kong Racketlon Association 1,9.0,18,2,1,1,5,0.5
,Chan Chun Kit,The Squash Club 1,9.0,36,4,1,3,5,0.25
,Dai Kwun San Harry,Physical Chess 1,9.0,9,1,0,1,5,0.0
,Fok Chin Ting Wicko,i-Mask Advance Squash Club 1,6.75,27,4,0,4,5,0.0
,To Shing Yuk,Physical Chess 1,6.0,6,1,0,1,5,0.0
,Ng Adrian,Hong Kong Football Club 5A,6.0,6,1,0,1,5,0.0
,Li Kin Lok,Happy Squash 2,6.0,6,1,0,1,5,0.0
,Tse Percy Cheung Ka,i-Mask Advance Squash Club 1,6.0,12,2,0,2,5,0.0
,Lam See Chun Clarence,Hong Kong Football Club 5A,4.5,9,2,1,1,5,0.5
,Chan Sze Long,Uncle,4.5,9,2,0,2,5,0.0
,Chu Daniel Ching Kwok,Physical Chess 1,3.0,3,1,0,1,5,0.0
,Leung Kam Yan,Happy Squash 2,3.0,9,3,0,3,5,0.0
,Cheung Yee Ki,Happy Squash 2,3.0,3,1,0,1,5,0.0
,Yu Wai To,The Squash Club 1,1.0,3,3,0,3,5,0.0
,Chan Ho Yu,i-Mask Advance Squash Club 1,0.0,0,1,0,1,5,0.0
,Yum Chun Ting,The Squash Club 1,0.0,0,1,0,1,5,0.0
,Hui Kwai Wah Monique,Hong Kong Racketlon Association 1,0.0,0,1,0,1,5,0.0
,Yeung Himmy Cheuk Him,Hong Kong Football Club 5B,0.0,0,1,0,1,5,0.0
,Cheung Wan Lee,Physical Chess 1,0.0,0,1,0,1,5,0.0
,Lam Chi Chris,Happy Squash 2,0.0,0,1,0,1,5,0.0
,Lau Sze Tung,Happy Squash 2,0.0,0,1,0,1,5,0.0
,Porter Darrell Lee,Hong Kong Football Club 5B,0.0,0,1,0,1,5,0.0
