Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Wong Tsz Wang Clayton,Squashathon One,25.29,177,7,6,1,15A,0.8571428571428571
2,Morris Brandon Quinn,United Services Recreation Club 4,24.0,144,6,6,0,15A,1.0
3,Wong Ho Tong,Physical Chess 5,23.0,138,6,4,2,15A,0.6666666666666666
4,Verma Kanay,HKIS Div 15,21.6,108,5,4,1,15A,0.8
5,Lai Ming Wah,Royal Hong Kong Yacht Club Div 15,20.14,141,7,6,1,15A,0.8571428571428571
6,Chiu Yee Lai,Royal Hong Kong Yacht Club Div 15,18.0,126,7,6,1,15A,0.8571428571428571
7,Chow Qing,Squashathon One,18.0,108,6,4,2,15A,0.6666666666666666
8,Chum Dylan Dzongsar,HKIS Div 15,18.0,108,6,3,3,15A,0.5
9,Lee Chun Yuen Aiden,United Services Recreation Club 4,17.4,87,5,5,0,15A,1.0
10,Davey Lucas Philip,Hong Kong Cricket Club 8,16.5,99,6,3,3,15A,0.5
10,Wong Tsz Him,Sha Tin 7,16.5,132,8,3,5,15A,0.375
12,Lee Man Yu,Sha Tin 7,16.2,81,5,4,1,15A,0.8
13,Chan Yuen Hei,Physical Chess 5,15.0,75,5,4,1,15A,0.8
14,Fung Tin Lok,Physical Chess 5,15.0,75,5,3,2,15A,0.6
15,Mak Jaden,United Services Recreation Club 4,13.8,69,5,2,3,15A,0.4
16,Huang William Yijia,Hong Kong Cricket Club 8,13.71,96,7,4,3,15A,0.5714285714285714
17,Chum Daphne Gautam,HKIS Div 15,13.0,78,6,3,3,15A,0.5
18,Tin Nok Lam,Physical Chess 5,12.6,63,5,4,1,15A,0.8
19,Mishra Swanik,Hong Kong Cricket Club 8,11.4,57,5,2,3,15A,0.4
20,Chan Gerard Ming Shing,Hong Kong Cricket Club 8,9.0,54,6,1,5,15A,0.16666666666666666
21,Chan Bernard Ming Shun,Hong Kong Cricket Club 8,8.4,42,5,2,3,15A,0.4
22,Yeoh Shu Ting Alexandra,HKIS Div 15,3.6,18,5,1,4,15A,0.2
23,Leekha Reyansh,HKIS Div 15,3.0,15,5,0,5,15A,0.0
,Lam Ethan Hon Yin,Hong Kong Cricket Club 8,27.0,27,1,1,0,15A,1.0
,Li Zoe,HKIS Div 15,25.5,102,4,4,0,15A,1.0
,Chiu Sai Kwong,Royal Hong Kong Yacht Club Div 15,23.0,69,3,2,1,15A,0.6666666666666666
,Wang Yi,Royal Hong Kong Yacht Club Div 15,23.0,69,3,2,1,15A,0.6666666666666666
,Chung Chun Ho,Squashathon One,20.0,60,3,3,0,15A,1.0
,Dong Ka Chung Jacky,Royal Hong Kong Yacht Club Div 15,19.5,78,4,4,0,15A,1.0
,Chan Chun Yin Edwin,Royal Hong Kong Yacht Club Div 15,19.5,39,2,2,0,15A,1.0
,Pang Man Hei,Sha Tin 7,19.5,39,2,1,1,15A,0.5
,Heng Ashton,Hong Kong Cricket Club 8,18.75,75,4,3,1,15A,0.75
,Lee Austin,Hong Kong Cricket Club 8,18.75,75,4,2,2,15A,0.5
,Chang Nga Pui,United Services Recreation Club 4,18.0,18,1,1,0,15A,1.0
,Wong Ho Kai,Physical Chess 5,17.0,51,3,2,1,15A,0.6666666666666666
,Zhang Ting Xuan,HKIS Div 15,16.5,33,2,2,0,15A,1.0
,Tam Wai Pui,Sha Tin 7,16.0,48,3,1,2,15A,0.3333333333333333
,Wong Chi Kin,Squashathon One,15.0,60,4,2,2,15A,0.5
,Li Li,Sha Tin 7,15.0,30,2,2,0,15A,1.0
,Chan Chun Ho,Physical Chess 5,15.0,30,2,2,0,15A,1.0
,Tham Joy Hannah,HKIS Div 15,15.0,15,1,1,0,15A,1.0
,Sam Chi Ho Tristan,Hong Kong Cricket Club 8,15.0,15,1,1,0,15A,1.0
,Ieong Chi Cheng,United Services Recreation Club 4,15.0,15,1,1,0,15A,1.0
,Grewal Nimrita Noor,Hong Kong Cricket Club 8,15.0,15,1,0,1,15A,0.0
,Ho Yik Siu Andy,Physical Chess 5,15.0,15,1,0,1,15A,0.0
,Wong Sung Chit,Squashathon One,14.0,42,3,2,1,15A,0.6666666666666666
,Chung Yin Lok Aiden,United Services Recreation Club 4,14.0,42,3,1,2,15A,0.3333333333333333
,Leung Kin Ho,Sha Tin 7,13.5,54,4,2,2,15A,0.5
,Yeung Hei Lui,Squashathon One,13.0,39,3,3,0,15A,1.0
,Chan Nathan Tze Ho,Squashathon One,13.0,39,3,2,1,15A,0.6666666666666666
,Chung Yoon Ah Abigail,Squashathon One,13.0,39,3,2,1,15A,0.6666666666666666
,Cheung Ka Wing,Squashathon One,12.75,51,4,1,3,15A,0.25
,Chan Ho Ching,Physical Chess 5,12.0,36,3,1,2,15A,0.3333333333333333
,Wan Yiu Hong,Physical Chess 5,12.0,48,4,1,3,15A,0.25
,Ho Lok Hei,Physical Chess 5,12.0,24,2,0,2,15A,0.0
,Cheng Chi Yan Jocelyn,Physical Chess 5,11.25,45,4,2,2,15A,0.5
,Shah Anaisha Malay,United Services Recreation Club 4,11.25,45,4,0,4,15A,0.0
,Tsang Pui Ki,Royal Hong Kong Yacht Club Div 15,11.0,33,3,2,1,15A,0.6666666666666666
,Tam Erin,HKIS Div 15,11.0,33,3,1,2,15A,0.3333333333333333
,Wong Hoi Shan,Royal Hong Kong Yacht Club Div 15,10.5,21,2,1,1,15A,0.5
,Cheng Hoi Ching,Sha Tin 7,10.5,21,2,0,2,15A,0.0
,Tam Emily,HKIS Div 15,10.0,30,3,0,3,15A,0.0
,Cohen Arlo,Hong Kong Cricket Club 8,9.75,39,4,2,2,15A,0.5
,Tang Hugo,Squashathon One,9.0,18,2,1,1,15A,0.5
,Ng Lok Ning Valerie,United Services Recreation Club 4,9.0,36,4,0,4,15A,0.0
,Li Hoi Lee,Royal Hong Kong Yacht Club Div 15,8.25,33,4,2,2,15A,0.5
,Ho William Mason,Hong Kong Cricket Club 8,7.5,30,4,2,2,15A,0.5
,Wong Hiu Lam,Sha Tin 7,7.5,30,4,0,4,15A,0.0
,Chan Yin Hei,Sha Tin 7,7.0,21,3,0,3,15A,0.0
,Wong Chi Ho,Sha Tin 7,6.0,18,3,1,2,15A,0.3333333333333333
,Chi Sum Yau,United Services Recreation Club 4,4.5,9,2,0,2,15A,0.0
,Peirse Adrian,Royal Hong Kong Yacht Club Div 15,3.0,3,1,0,1,15A,0.0
,Law Nga Mang,Sha Tin 7,3.0,9,3,0,3,15A,0.0
,Chi Ho Sum,United Services Recreation Club 4,3.0,3,1,0,1,15A,0.0
,Lo Ching Yin,Sha Tin 7,1.5,3,2,0,2,15A,0.0
