Player Name,HKS No.,Team,Opponent Name,Opponent HKS No.,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Lau Dick Siu Wai,25832.0,Hong Kong Football Club M1A,Ng Tsz Chun,31310.0,Squashathon M+,16/10/2025,Hong Kong Football Club,1,3-0,Win,Home
Ng Tsz Chun,31310.0,Squashathon M+,Lau Dick Siu Wai,25832.0,Hong Kong Football Club M1A,16/10/2025,Hong Kong Football Club,1,0-3,Loss,Away
Hartley Alexander,34570.0,Hong Kong Football Club M1A,Lam Yan Kiu,33643.0,Squashathon M+,16/10/2025,Hong Kong Football Club,2,3-1,Win,Home
Lam Yan Kiu,33643.0,Squashathon M+,Hartley Alexander,34570.0,Hong Kong Football Club M1A,16/10/2025,Hong Kong Football Club,2,1-3,Loss,Away
Soo Sean Tsung Jie,30498.0,Hong Kong Football Club M1A,Cheng Steven Wai Kit,29784.0,Squashathon M+,16/10/2025,Hong Kong Football Club,3,3-0,Win,Home
Cheng Steven Wai Kit,29784.0,Squashathon M+,Soo Sean Tsung Jie,30498.0,Hong Kong Football Club M1A,16/10/2025,Hong Kong Football Club,3,0-3,Loss,Away
Ward Andrew,30509.0,Hong Kong Football Club M1B,Wong Joe Wai Chung,19907.0,Hong Kong Cricket Club M1B,16/10/2025,Hong Kong Football Club,1,3-1,Win,Home
Wong Joe Wai Chung,19907.0,Hong Kong Cricket Club M1B,Ward Andrew,30509.0,Hong Kong Football Club M1B,16/10/2025,Hong Kong Football Club,1,1-3,Loss,Away
Schaefer Rishad,31281.0,Hong Kong Football Club M1B,Salahuddin,33374.0,Hong Kong Cricket Club M1B,16/10/2025,Hong Kong Football Club,2,1-3,Loss,Home
Salahuddin,33374.0,Hong Kong Cricket Club M1B,Schaefer Rishad,31281.0,Hong Kong Football Club M1B,16/10/2025,Hong Kong Football Club,2,3-1,Win,Away
Chou Pak Lam Wilson,32369.0,Hong Kong Football Club M1B,Unknown,,Hong Kong Cricket Club M1B,16/10/2025,Hong Kong Football Club,3,CR,Win,Home
Unknown,,Hong Kong Cricket Club M1B,Chou Pak Lam Wilson,32369.0,Hong Kong Football Club M1B,16/10/2025,Hong Kong Football Club,3,CR,Loss,Away
