Player Name,Team,Opponent Name,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Ekanayake Yeshan,Hong Kong Cricket Club M1A,Caves Christopher,Ladies Recreation Club M1,16/01/2025,Hong Kong Cricket Club,1,1-3,Loss,Home
Caves Christopher,Ladies Recreation Club M1,Ekanayake Yeshan,Hong Kong Cricket Club M1A,16/01/2025,Hong Kong Cricket Club,1,3-1,Win,Away
Salahuddin,Hong Kong Cricket Club M1A,Brantly Charles,Ladies Recreation Club M1,16/01/2025,Hong Kong Cricket Club,2,3-0,Win,Home
Brantly Charles,Ladies Recreation Club M1,Salahuddin,Hong Kong Cricket Club M1A,16/01/2025,Hong Kong Cricket Club,2,0-3,Loss,Away
Janes Gareth,Hong Kong Cricket Club M1A,Unknown,Ladies Recreation Club M1,16/01/2025,Hong Kong Cricket Club,3,1-3,Loss,Home
Unknown,Ladies Recreation Club M1,Janes Gareth,Hong Kong Cricket Club M1A,16/01/2025,Hong Kong Cricket Club,3,3-1,Win,Away
Khan Faheem,Hong Kong Cricket Club M1B,Ward Andrew,Hong Kong Football Club M1B,16/01/2025,Hong Kong Cricket Club,1,3-2,Win,Home
Ward Andrew,Hong Kong Football Club M1B,Khan Faheem,Hong Kong Cricket Club M1B,16/01/2025,Hong Kong Cricket Club,1,2-3,Loss,Away
Head Phil,Hong Kong Cricket Club M1B,Chiu Ho Ming,Hong Kong Football Club M1B,16/01/2025,Hong Kong Cricket Club,2,0-3,Loss,Home
Chiu Ho Ming,Hong Kong Football Club M1B,Head Phil,Hong Kong Cricket Club M1B,16/01/2025,Hong Kong Cricket Club,2,3-0,Win,Away
West Steven,Hong Kong Cricket Club M1B,Schaefer Rishad,Hong Kong Football Club M1B,16/01/2025,Hong Kong Cricket Club,3,2-3,Loss,Home
Schaefer Rishad,Hong Kong Football Club M1B,West Steven,Hong Kong Cricket Club M1B,16/01/2025,Hong Kong Cricket Club,3,3-2,Win,Away
