Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,* Wong Aaron Wan Chong,The Hong Kong Jockey Club Div 10,26.33,237,9,9,0,10,1.0
2,Cheung Danny Yui Nam,RELAY 1,23.4,351,15,14,1,10,0.9333333333333333
3,Tam Wai Nam,RELAY 1,23.33,420,18,14,4,10,0.7777777777777778
4,Swan Owen,Banbil,23.0,345,15,11,4,10,0.7333333333333333
5,Foo Chun Huey,Banbil,22.33,402,18,16,2,10,0.8888888888888888
6,Smith Alexander,Bravo D10,21.38,171,8,5,3,10,0.625
7,* Lee Dennis Yuk Kai,The Hong Kong Jockey Club Div 10,21.0,189,9,6,3,10,0.6666666666666666
8,Au Wing Yin Francis,Banbil,20.0,120,6,5,1,10,0.8333333333333334
9,Li Chung Him Samuel,Craigengower Cricket Club,20.0,120,6,3,3,10,0.5
10,Wong John Ying Man,The Hong Kong Jockey Club Div 10,18.75,150,8,6,2,10,0.75
11,Wong Yu San,The Hong Kong Jockey Club Div 10,18.69,243,13,13,0,10,1.0
12,Chan Wun Hei,Sha Tin 4,18.67,168,9,4,5,10,0.4444444444444444
13,Tong Chi On,United Services Recreation Club 3,18.43,129,7,3,4,10,0.42857142857142855
14,Shum Hin Yeung Almond,The Hong Kong Jockey Club Div 10,16.91,186,11,9,2,10,0.8181818181818182
15,Woo Heng Che Stephen,The Hong Kong Jockey Club Div 10,16.85,219,13,13,0,10,1.0
16,Hsu Marvin,The Hong Kong Jockey Club Div 10,16.5,198,12,4,8,10,0.3333333333333333
17,Yuen Tsun Kit,RELAY 1,16.17,291,18,13,5,10,0.7222222222222222
18,Yam Ken Luen Kai,United Services Recreation Club 3,16.12,129,8,6,2,10,0.75
19,Cheung Peter Tat Kei,United Services Recreation Club 3,16.0,192,12,4,8,10,0.3333333333333333
20,Chow Pui Sing,Bravo D10,15.6,78,5,5,0,10,1.0
21,Chu Lap Sun,United Services Recreation Club 3,15.38,246,16,7,9,10,0.4375
22,Leung Chi Wang Christopher,United Services Recreation Club 3,15.27,168,11,7,4,10,0.6363636363636364
23,Wong Gary Ming Ho,Sha Tin 4,15.0,180,12,5,7,10,0.4166666666666667
24,Yu Chi Keung,United Services Recreation Club 3,15.0,75,5,2,3,10,0.4
25,Tse Man Hin,RELAY 1,14.67,264,18,13,5,10,0.7222222222222222
26,Tong Franco Sui Lun,The Hong Kong Jockey Club Div 10,14.18,156,11,7,4,10,0.6363636363636364
27,Lo Tien Yue,Craigengower Cricket Club,14.1,141,10,1,9,10,0.1
28,So Li Chuan John,Banbil,13.8,69,5,4,1,10,0.8
29,Lau Ching Yin,Sha Tin 4,13.71,96,7,2,5,10,0.2857142857142857
30,Cheng Wing Hei Timothy,Bravo D10,13.5,189,14,3,11,10,0.21428571428571427
30,Hong Cheuk Yip Gary,Bravo D10,13.5,162,12,3,9,10,0.25
32,Au Ming Chung Sampson,Banbil,13.38,174,13,7,6,10,0.5384615384615384
33,Ho Kwan Lun,The Hong Kong Jockey Club Div 10,13.33,120,9,6,3,10,0.6666666666666666
34,Leung Siu Lun,Sha Tin 4,13.2,66,5,2,3,10,0.4
35,Leow Kin Leung,Banbil,13.12,105,8,3,5,10,0.375
36,Li Ka Kit,Sha Tin 4,12.86,180,14,8,6,10,0.5714285714285714
37,Daigneault Christian,United Services Recreation Club 3,12.86,90,7,5,2,10,0.7142857142857143
38,Mirapuri Rajesh,United Services Recreation Club 3,12.5,150,12,6,6,10,0.5
39,Lam Wilson Koon Fung,Craigengower Cricket Club,12.3,123,10,3,7,10,0.3
40,Ku Wai Hang William,United Services Recreation Club 3,12.0,84,7,5,2,10,0.7142857142857143
41,Huang Kai Tao,Banbil,12.0,60,5,2,3,10,0.4
42,Leung Wai Kwan,Banbil,11.45,126,11,8,3,10,0.7272727272727273
43,Kan Alvin Ho Yin,Sha Tin 4,11.0,132,12,3,9,10,0.25
44,Lee Hsuen Pin,Bravo D10,10.67,96,9,3,6,10,0.3333333333333333
45,Chui Horace,Craigengower Cricket Club,10.29,72,7,0,7,10,0.0
46,Ng Jessica Yuk Mui,Banbil,9.0,54,6,3,3,10,0.5
47,Wu Minyan,Bravo D10,8.77,114,13,4,9,10,0.3076923076923077
48,Liang Shi Jing,United Services Recreation Club 3,8.5,51,6,3,3,10,0.5
49,Chan Kar Wai Cynthia,Craigengower Cricket Club,8.5,51,6,1,5,10,0.16666666666666666
50,Wong Cho Kit,Craigengower Cricket Club,8.33,75,9,0,9,10,0.0
51,Adams David,Banbil,8.1,81,10,4,6,10,0.4
52,Law Yuen Fung,RELAY 1,7.29,51,7,3,4,10,0.42857142857142855
53,Wong Alan Yuk Lun,Sha Tin 4,6.43,90,14,3,11,10,0.21428571428571427
54,Cheung Hon Sang,RELAY 1,6.43,45,7,2,5,10,0.2857142857142857
55,Guo Si Jia,Bravo D10,5.45,60,11,3,8,10,0.2727272727272727
56,Choi Cheuk Hei,RELAY 1,3.6,36,10,2,8,10,0.2
57,Man Kwan Wun,Craigengower Cricket Club,2.4,12,5,0,5,10,0.0
58,So Stephanie Yuen Ting,Craigengower Cricket Club,1.88,15,8,0,8,10,0.0
59,Tsang Patrick Kai Chi,Craigengower Cricket Club,0.0,0,8,0,8,10,0.0
,Jin Lu,Bravo D10,22.0,66,3,2,1,10,0.6666666666666666
,Ng Coleman Shung Ching,United Services Recreation Club 3,18.0,18,1,1,0,10,1.0
,Tyen Cedric Kwong Hui,The Hong Kong Jockey Club Div 10,16.5,33,2,2,0,10,1.0
,Chan Long Ying,RELAY 1,15.0,30,2,2,0,10,1.0
,Poon Raymond Wai Man,RELAY 1,15.0,15,1,1,0,10,1.0
,Li Kin,Sha Tin 4,15.0,15,1,1,0,10,1.0
,Lam King Tak Douglas,The Hong Kong Jockey Club Div 10,15.0,15,1,1,0,10,1.0
,Wong Javy Ki Ling,The Hong Kong Jockey Club Div 10,12.75,51,4,4,0,10,1.0
,Yam Tsz Hei,Sha Tin 4,12.0,24,2,2,0,10,1.0
,Hui Prodipto,United Services Recreation Club 3,12.0,12,1,1,0,10,1.0
,Fu Wei,Bravo D10,12.0,12,1,1,0,10,1.0
