Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
,Ieong Chi Cheng,United Services Recreation Club 4,10.0,30,3,2,1,15A,0.6666666666666666
,Cheng Hoi Ching,Sha Tin 7,9.75,39,4,0,4,15A,0.0
,Tam Erin,HKIS Div 15,8.25,33,4,1,3,15A,0.25
,Tam Emily,HKIS Div 15,8.25,33,4,0,4,15A,0.0
,Sam Chi Ho Tristan,Hong Kong Cricket Club 8,7.0,21,3,1,2,15A,0.3333333333333333
,Chan Yin Hei,Sha Tin 7,6.75,27,4,0,4,15A,0.0
,Peirse Adrian,Royal Hong Kong Yacht Club Div 15,3.75,15,4,0,4,15A,0.0
,Bai Boson,HKIS Div 15,3.0,3,1,0,1,15A,0.0
,Chi Ho Sum,United Services Recreation Club 4,2.0,6,3,0,3,15A,0.0
,Lee Mei Chi,Royal Hong Kong Yacht Club Div 15,1.5,6,4,0,4,15A,0.0
,Chan Yan Lam,Squashathon One,0.0,0,1,0,1,15A,0.0
,Yeoh Seng Ghee,HKIS Div 15,0.0,0,0,0,0,15A,0.0
,Chan Sun,Physical Chess 5,0.0,0,0,0,0,15A,0.0
