Player Name,Team,Opponent Name,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Tulloch Gillem,Ladies Recreation Club M1,Genever Peter John,Hong Kong Cricket Club M1B,23/01/2025,Ladies Recreation Club,1,0-3,Loss,Home
Genever Peter John,Hong Kong Cricket Club M1B,Tulloch Gillem,Ladies Recreation Club M1,23/01/2025,Ladies Recreation Club,1,3-0,Win,Away
Nihalani Rajesh,Ladies Recreation Club M1,Head Phil,Hong Kong Cricket Club M1B,23/01/2025,Ladies Recreation Club,2,0-3,Loss,Home
Head Phil,Hong Kong Cricket Club M1B,Nihalani Rajesh,Ladies Recreation Club M1,23/01/2025,Ladies Recreation Club,2,3-0,Win,Away
Caves Christopher,Ladies Recreation Club M1,Achouch Frank,Hong Kong Cricket Club M1B,23/01/2025,Ladies Recreation Club,3,3-1,Win,Home
Achouch Frank,Hong Kong Cricket Club M1B,Caves Christopher,Ladies Recreation Club M1,23/01/2025,Ladies Recreation Club,3,1-3,Loss,Away
Ho Eric Chu Him,Hong Kong Football Club M1A,Chiu Ho Fai,Hong Kong Cricket Club M1A,23/01/2025,Hong Kong Football Club,1,1-3,Loss,Home
Chiu Ho Fai,Hong Kong Cricket Club M1A,Ho Eric Chu Him,Hong Kong Football Club M1A,23/01/2025,Hong Kong Football Club,1,3-1,Win,Away
Lau Dick Siu Wai,Hong Kong Football Club M1A,Gray Jonathan,Hong Kong Cricket Club M1A,23/01/2025,Hong Kong Football Club,2,3-0,Win,Home
Gray Jonathan,Hong Kong Cricket Club M1A,Lau Dick Siu Wai,Hong Kong Football Club M1A,23/01/2025,Hong Kong Football Club,2,0-3,Loss,Away
Yu Vincent Hok Yan,Hong Kong Football Club M1A,Salahuddin,Hong Kong Cricket Club M1A,23/01/2025,Hong Kong Football Club,3,3-0,Win,Home
Salahuddin,Hong Kong Cricket Club M1A,Yu Vincent Hok Yan,Hong Kong Football Club M1A,23/01/2025,Hong Kong Football Club,3,0-3,Loss,Away
