Player Name,Team,Opponent Name,Opponent Team,Match Date,Venue,Rubber Number,Score,Result,Home/Away
Wong Chi Him,Hong Kong Cricket Club 1,Yip Tsz Fung,Hong Kong Football Club 1B,23/01/2025,Hong Kong Cricket Club,1,3-0,Win,Home
Yip Tsz Fung,Hong Kong Football Club 1B,Wong Chi Him,Hong Kong Cricket Club 1,23/01/2025,Hong Kong Cricket Club,1,0-3,Loss,Away
Lam Harley Yat Ting,Hong Kong Cricket Club 1,Lee Tin Hang,Hong Kong Football Club 1B,23/01/2025,Hong Kong Cricket Club,2,3-0,Win,Home
Lee Tin Hang,Hong Kong Football Club 1B,Lam Harley Yat Ting,Hong Kong Cricket Club 1,23/01/2025,Hong Kong Cricket Club,2,0-3,Loss,Away
To Wai Lok,Hong Kong Cricket Club 1,Cheng Ting To Brogan,Hong Kong Football Club 1B,23/01/2025,Hong Kong Cricket Club,3,3-0,Win,Home
Cheng Ting To Brogan,Hong Kong Football Club 1B,To Wai Lok,Hong Kong Cricket Club 1,23/01/2025,Hong Kong Cricket Club,3,0-3,Loss,Away
Chung Yat Long,FWD,Au Lap Man Rex,Kowloon Cricket Club 1B,23/01/2025,HK Squash Centre,1,3-1,Win,Home
Au Lap Man Rex,Kowloon Cricket Club 1B,Chung Yat Long,FWD,23/01/2025,HK Squash Centre,1,1-3,Loss,Away
Ho Samuel Ka Hei,FWD,Tam Tommy Tsz Shing,Kowloon Cricket Club 1B,23/01/2025,HK Squash Centre,2,3-1,Win,Home
Tam Tommy Tsz Shing,Kowloon Cricket Club 1B,Ho Samuel Ka Hei,FWD,23/01/2025,HK Squash Centre,2,1-3,Loss,Away
Wong Joe Wai Chung,FWD,Man Tsz Wing,Kowloon Cricket Club 1B,23/01/2025,HK Squash Centre,3,2-3,Loss,Home
Man Tsz Wing,Kowloon Cricket Club 1B,Wong Joe Wai Chung,FWD,23/01/2025,HK Squash Centre,3,3-2,Win,Away
Tang Ming Hong,Kowloon Cricket Club 1A,Lee Max Ho Yin,Hong Kong Football Club 1A,23/01/2025,Kowloon Cricket Club,1,3-1,Win,Home
Lee Max Ho Yin,Hong Kong Football Club 1A,Tang Ming Hong,Kowloon Cricket Club 1A,23/01/2025,Kowloon Cricket Club,1,1-3,Loss,Away
Ling To Yu,Kowloon Cricket Club 1A,Cheng Justin Hong-Chen,Hong Kong Football Club 1A,23/01/2025,Kowloon Cricket Club,2,3-0,Win,Home
Cheng Justin Hong-Chen,Hong Kong Football Club 1A,Ling To Yu,Kowloon Cricket Club 1A,23/01/2025,Kowloon Cricket Club,2,0-3,Loss,Away
Lam Matthew Shing Fung,Kowloon Cricket Club 1A,Lai Long Ching,Hong Kong Football Club 1A,23/01/2025,Kowloon Cricket Club,3,3-1,Win,Home
Lai Long Ching,Hong Kong Football Club 1A,Lam Matthew Shing Fung,Kowloon Cricket Club 1A,23/01/2025,Kowloon Cricket Club,3,1-3,Loss,Away
