Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Cheuk Chun Hei,Relay 1,25.09,276,11,11,0,17B,1.0
2,Tam Tommy Tsz Shing,GS 3,25.07,351,14,12,2,17B,0.8571428571428571
3,Fong Ka Leung,Everlast 2,24.92,324,13,11,2,17B,0.8461538461538461
4,Wong Crystal On Ying,Striving,22.25,267,12,8,4,17B,0.6666666666666666
5,Chan Siu Lun,Relay 1,21.6,216,10,8,2,17B,0.8
6,Yu Yuet Huen,i-MASK Advance Squash Club 13,21.25,255,12,8,4,17B,0.6666666666666666
7,* Tse Long Hin,GS 3,21.0,273,13,10,3,17B,0.7692307692307693
8,Sze Jun Him,GS 3,20.77,270,13,12,1,17B,0.9230769230769231
9,Tang Tsun Man,Kinetic 7,20.7,207,10,7,3,17B,0.7
10,Lee Hui Lok Derek,Everlast 2,20.0,300,15,12,3,17B,0.8
11,Cheung Long In Renee,i-MASK Advance Squash Club 13,18.86,132,7,5,2,17B,0.7142857142857143
12,Yuen Tsun Kit,Relay 1,18.6,186,10,8,2,17B,0.8
13,Huang Valerie Kaitlyn,Everlast 2,18.5,111,6,6,0,17B,1.0
14,Li Hoi Ting,Everlast 2,18.0,126,7,5,2,17B,0.7142857142857143
15,Tsui Ka Pui,i-MASK Advance Squash Club 13,17.7,177,10,9,1,17B,0.9
16,Ng Tin Long Curtiss,i-MASK Advance Squash Club 13,17.4,261,15,8,7,17B,0.5333333333333333
17,Hau John Tsun Ip,Relay 1,16.64,183,11,10,1,17B,0.9090909090909091
18,Man Tsz Chung,Yuen Long Jr 3,16.5,132,8,4,4,17B,0.5
19,Kong Man Yui,KWTDSC 3,16.2,162,10,9,1,17B,0.9
20,Tang Yan Ning,Fung King 4,16.09,177,11,3,8,17B,0.2727272727272727
21,Wong Yat Hay,Yuen Long Jr 3,15.86,222,14,8,6,17B,0.5714285714285714
22,Wong Kai Yin,Yuen Long Jr 3,15.82,174,11,2,9,17B,0.18181818181818182
23,Chung Ka Chun,KWTDSC 3,15.75,126,8,3,5,17B,0.375
24,Chau Chun Man,KWTDSC 3,15.67,141,9,5,4,17B,0.5555555555555556
25,Ho Tsz Ling Alyssa,GS 3,15.23,198,13,12,1,17B,0.9230769230769231
26,Kwong Ena,Fung King 4,15.0,225,15,4,11,17B,0.26666666666666666
26,Wong Lok Him,Yuen Long Jr 3,15.0,165,11,4,7,17B,0.36363636363636365
28,Chan Kwan Ho,Relay 1,14.5,174,12,6,6,17B,0.5
29,Cheung Horace Man Chi,i-MASK Advance Squash Club 13,14.4,72,5,2,3,17B,0.4
29,Mak Kwok Wing,KWTDSC 3,14.4,216,15,2,13,17B,0.13333333333333333
31,Yim Ka Wai,Striving,14.14,198,14,3,11,17B,0.21428571428571427
32,Lam Wai Hang,Relay 1,13.88,111,8,4,4,17B,0.5
33,Lai Chung Him,Relay 1,13.8,138,10,8,2,17B,0.8
34,Ip Wai Hin,Striving,13.75,165,12,6,6,17B,0.5
35,Poon Shun Ming,i-MASK Advance Squash Club 13,13.5,162,12,11,1,17B,0.9166666666666666
36,Tang Hoo Lang,GS 3,13.25,159,12,7,5,17B,0.5833333333333334
37,Tang Tsz Shan,Yuen Long Jr 3,13.2,132,10,8,2,17B,0.8
38,Fok Ming Cheung,KWTDSC 3,13.09,144,11,7,4,17B,0.6363636363636364
39,Lau Chi Chun,KWTDSC 3,12.67,114,9,4,5,17B,0.4444444444444444
40,Liu Sung Yan,Fung King 4,12.4,186,15,4,11,17B,0.26666666666666666
