Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Ang Kheng Keong,WSC NOSET,25.09,276,11,10,1,7A,0.9090909090909091
2,Ko Charles Leong Fung,Hong Kong Football Club 7,25.0,300,12,12,0,7A,1.0
3,Wu Renee,GS 2,22.65,453,20,18,2,7A,0.9
4,Chan Olivia,Everlast 1,21.3,426,20,11,9,7A,0.55
5,Ng Adrian,Hong Kong Football Club 7,20.75,249,12,9,3,7A,0.75
6,Wong Kirstie Po Yui,GS 2,20.7,414,20,13,7,7A,0.65
7,Chan Siu Kwan,i-MASK Advance Squash Club 4,20.36,285,14,8,6,7A,0.5714285714285714
8,Ng Chester Tsz Chung,Neptune,19.8,297,15,8,7,7A,0.5333333333333333
9,Tse Toby Yee Lam,Spirit 2,19.33,348,18,15,3,7A,0.8333333333333334
10,Lam Ka Lok Gary,Hong Kong Football Club 7,19.07,267,14,12,2,7A,0.8571428571428571
11,Cheng Miriam Min-Chen,Spirit 2,18.92,246,13,8,5,7A,0.6153846153846154
12,Lo Hiu Lam,Neptune,18.38,147,8,3,5,7A,0.375
13,Chan Tat Wing,Neptune,18.19,291,16,10,6,7A,0.625
14,Lai Cheuk Yu,GS 2,18.0,324,18,16,2,7A,0.8888888888888888
15,Ng Henry Cheuk Kiu,Hong Kong Football Club 7,17.65,300,17,13,4,7A,0.7647058823529411
16,Cheung Wai Ming,i-MASK Advance Squash Club 4,17.62,282,16,9,7,7A,0.5625
17,Kwok Chi Hang,HKU 2,17.5,210,12,3,9,7A,0.25
18,Tang Howard Yu Kim,WSC NOSET,17.33,156,9,3,6,7A,0.3333333333333333
19,Yow Kenny Kin Ping,Everlast 1,17.0,357,21,13,8,7A,0.6190476190476191
20,Lee Dennis Joshua,Everlast 1,16.5,330,20,19,1,7A,0.95
21,Choi Ho Laam,i-MASK Advance Squash Club 4,16.12,129,8,5,3,7A,0.625
22,Griffiths Edward,Hong Kong Football Club 7,16.0,144,9,5,4,7A,0.5555555555555556
23,Cheng Darren Ho Yin,Neptune,15.38,246,16,10,6,7A,0.625
24,Yeung Yurisa,Hong Kong Football Club 7,14.67,132,9,7,2,7A,0.7777777777777778
25,Li Kai Wai,i-MASK Advance Squash Club 4,14.4,216,15,10,5,7A,0.6666666666666666
26,Yung Anthea On Sang,Hong Kong Football Club 7,14.4,72,5,3,2,7A,0.6
27,Rosenzweig Nathan Shuyou,Spirit 2,14.36,201,14,9,5,7A,0.6428571428571429
28,Tang Yiu Shing Kenny,i-MASK Advance Squash Club 4,14.0,84,6,2,4,7A,0.3333333333333333
29,Mak Yi Yan,Spirit 2,13.07,183,14,0,14,7A,0.0
30,Lam Wing Chung,WSC NOSET,13.0,195,15,3,12,7A,0.2
31,Wong Anson,Spirit 2,12.88,219,17,9,8,7A,0.5294117647058824
32,Man Wing Ping Wilson,WSC NOSET,12.75,255,20,10,10,7A,0.5
33,Lai Ming Chak Marco,Everlast 1,12.0,240,20,8,12,7A,0.4
34,Yip Tree Ka Shue,HKU 2,12.0,96,8,0,8,7A,0.0
35,Wu Kan Wah Kit,WSC NOSET,11.86,249,21,7,14,7A,0.3333333333333333
36,Tam Cho Nga Mariko,Spirit 2,11.6,174,15,10,5,7A,0.6666666666666666
37,Li Cheryl Wing Sze,GS 2,11.5,207,18,11,7,7A,0.6111111111111112
38,Chu Raymond Wai Man,i-MASK Advance Squash Club 4,11.47,195,17,5,12,7A,0.29411764705882354
39,Chan Dave Chi Keung,Hong Kong Football Club 7,11.4,171,15,11,4,7A,0.7333333333333333
40,Niederberger Jurg,Hong Kong Football Club 7,11.4,57,5,4,1,7A,0.8
41,Lee Chun Hin,HKU 2,11.25,90,8,4,4,7A,0.5
42,Wong Chi Hang Frankie,HKU 2,10.5,126,12,3,9,7A,0.25
43,Chiang Chi Shing Michael,HKU 2,10.33,93,9,0,9,7A,0.0
44,Fan Charles Wai Kin,HKU 2,9.5,114,12,0,12,7A,0.0
45,Ip Chun Keung,i-MASK Advance Squash Club 4,8.8,132,15,7,8,7A,0.4666666666666667
46,Or  Li Wah Oliver,WSC NOSET,6.92,90,13,5,8,7A,0.38461538461538464
47,Hon Chun Chau Lan,GS 2,6.86,48,7,2,5,7A,0.2857142857142857
48,Wong Angus,Spirit 2,6.5,78,12,5,7,7A,0.4166666666666667
49,Law Ravel Wai Hung,HKU 2,6.43,90,14,3,11,7A,0.21428571428571427
50,Kwan Gary Chun To,HKU 2,6.0,30,5,0,5,7A,0.0
51,Cheung Ezrela Yee Yan,Everlast 1,5.82,99,17,5,12,7A,0.29411764705882354
52,Tse Joey Hiu Laam,Neptune,5.5,33,6,2,4,7A,0.3333333333333333
53,Lui Chi Chung,Neptune,4.5,63,14,0,14,7A,0.0
54,Ho Wai Ting,Neptune,4.36,48,11,1,10,7A,0.09090909090909091
55,Yeung Sharon Siu Lam,HKU 2,4.29,60,14,3,11,7A,0.21428571428571427
56,Tse Fanny Hiu Fan,Neptune,2.14,30,14,1,13,7A,0.07142857142857142
,Yeung Tsz May,i-MASK Advance Squash Club 4,18.0,18,1,1,0,7A,1.0
,Kostienko Krzysztof,Hong Kong Football Club 7,16.5,33,2,2,0,7A,1.0
,Yu John Kwong Chong,i-MASK Advance Squash Club 4,15.0,30,2,2,0,7A,1.0
,Mountford Graham,Hong Kong Football Club 7,15.0,15,1,1,0,7A,1.0
,Jones Robert F.,Hong Kong Football Club 7,13.5,27,2,2,0,7A,1.0
,Lee Hui Lok Derek,Everlast 1,13.5,27,2,2,0,7A,1.0
,Ng Kien Ho Yee,i-MASK Advance Squash Club 4,12.0,12,1,1,0,7A,1.0
,Fong Ka Leung,Everlast 1,12.0,12,1,1,0,7A,1.0
,Yiu Nicole Ming Ying,Everlast 1,12.0,36,3,0,3,7A,0.0
,Tai Dhubal Koon Ho,GS 2,11.25,45,4,2,2,7A,0.5
,Gollop Stephen,Hong Kong Football Club 7,10.5,21,2,2,0,7A,1.0
,Ng George Kwok Cheung,WSC NOSET,8.0,24,3,1,2,7A,0.3333333333333333
,Zhang Tiffany,GS 2,4.5,18,4,1,3,7A,0.25
,Kwan Chung Kai Chris,i-MASK Advance Squash Club 4,3.0,3,1,0,1,7A,0.0
,Mak Tsun Hei,Spirit 2,3.0,3,1,0,1,7A,0.0
,Wong Icarus Ho Hoi,Neptune,3.0,12,4,0,4,7A,0.0
,Tsui Lung Kwan,WSC NOSET,0.0,0,0,0,0,7A,
