Order,HKS No.,Name of Players,Ranking,Points,Team
1,28563,Lo Sing Chi,12,17.54,Friend Club 2
2,30199,Mak Chi Chung,28,11.77,Friend Club 2
3,30551,Tung Wing Yan,40,7.62,Friend Club 2
4,30930,Chau Suet Ying,43,4.50,Friend Club 2
5,31323,Li Yuen Yau,44,2.44,Friend Club 2
6,31386,Ha Christina Yu Fei,45,0.00,Friend Club 2
7,31477,Lee Chung Hin,0,,Friend Club 2
1,28413,Chan Tsz Yeung,9,18.64,Head Sha Tin 1
2,28862,Choi Celia Uen Shan,23,14.00,Head Sha Tin 1
3,30306,Yim Gi Ping,15,16.83,Head Sha Tin 1
4,28202,Tsoi Keith Tsz Fung,27,13.50,Head Sha Tin 1
5,25873,Chan Jason,26,13.50,Head Sha Tin 1
6,29934,Luk Anson Chi Tao,31,11.00,Head Sha Tin 1
7,20356,Chow Tat Keung,36,10.20,Head Sha Tin 1
8,22758,Poon Raymond Wai Man,33,11.00,Head Sha Tin 1
2,30600,Chan Chun Ching,4,21.67,Hong Kong Cricket Club 2
3,28087,Ma Tsz Lok,3,22.50,Hong Kong Cricket Club 2
4,30423,Wong Kirstie Po Yui,7,19.75,Hong Kong Cricket Club 2
5,29301,Trench Wayne,0,,Hong Kong Cricket Club 2
6,30050,Sadarangani Neil,17,15.75,Hong Kong Cricket Club 2
7,23259,Dyus Hugh,32,11.00,Hong Kong Cricket Club 2
8,26358,Chin Michael,29,11.70,Hong Kong Cricket Club 2
9,31377,Stevenson John Arthur Liam,38,9.33,Hong Kong Cricket Club 2
11,29770,Wong Jessica Po Sze,42,4.67,Hong Kong Cricket Club 2
1,28839,Tong Tsz Chun,2,22.50,Hong Kong Football Club 4
2,29552,Caves Christopher,20,15.00,Hong Kong Football Club 4
3,31142,Wu Renee,18,15.46,Hong Kong Football Club 4
4,26685,Waldie Jason,6,19.80,Hong Kong Football Club 4
5,26068,Robinson David,19,15.00,Hong Kong Football Club 4
6,25742,Nihalani Manoj,37,9.60,Hong Kong Football Club 4
7,31833,Schlosser Gergo,35,10.50,Hong Kong Football Club 4
8,27573,Soo Euan Tsung Liang,39,9.00,Hong Kong Football Club 4
9,29908,Krishnan Eashwar,0,,Hong Kong Football Club 4
10,16932,Barrington James,0,,Hong Kong Football Club 4
1,28226,Kwok Chun Lok,16,16.20,Perrier Sergio Tacchini KCC 4
2,28776,Ho Ka Wing Janice,5,19.88,Perrier Sergio Tacchini KCC 4
3,25723,Chan Shing Fung,8,19.07,Perrier Sergio Tacchini KCC 4
4,31344,Rehman Khan Niaz,14,16.83,Perrier Sergio Tacchini KCC 4
5,29351,Lai Michael Cheuk Fung,25,13.88,Perrier Sergio Tacchini KCC 4
6,28135,Ho Ka Po,22,14.33,Perrier Sergio Tacchini KCC 4
7,23276,Ng Elise Jia Yunn,41,7.50,Perrier Sergio Tacchini KCC 4
8,20446,Tse Chun Keung,34,10.71,Perrier Sergio Tacchini KCC 4
1,28693,Kwok Lai Yin,1,24.30,Smart Squash 1
2,29086,Wong Hoi Chun,10,18.38,Smart Squash 1
3,28475,Luk Long Hei,11,18.23,Smart Squash 1
4,28929,Poon Chun Sing,13,17.06,Smart Squash 1
5,28209,Lai Alvin Ka Kit,24,13.89,Smart Squash 1
6,28828,Tse Man Ho,21,14.40,Smart Squash 1
7,29694,Wong Ho Chung,30,11.08,Smart Squash 1
