Order,HKS No.,Name of Players,Ranking,Points,Team
2,33022,Pahilwani Himansh Vijay,0,13.5,Diocesan
3,33132,Tsang Ethan Conor,0,12.75,Diocesan
4,33433,Chim Hay Yat Ian,0,9.0,Diocesan
5,32612,Chiu Damon,0,10.5,Diocesan
6,32875,Woo Nicholas Cheuk-Heng,0,6.0,Diocesan
7,33021,Wong King Yi Christian Alastair,0,24.0,Diocesan
8,33024,Lai Chak Ting Nexus,0,5.0,Diocesan
9,33215,Leung William Tak Lim,0,4.5,Diocesan
10,33124,Fung Long Yiu,0,3.0,Diocesan
11,33027,Lee Si Hong Max,0,1.5,Diocesan
11,33434,Wong Hong Ming,0,0.0,Diocesan
12,33138,Luk Hoi Fai,0,7.5,Diocesan
1,33086,Yap Yau Kwan,0,24.75,HEAD SHATIN 7
2,32091,Yan Chun Yin,5,20.0,HEAD SHATIN 7
3,32543,Wong Suet Ling,0,22.5,HEAD SHATIN 7
4,32066,Wong Yin Cheuk,0,16.5,HEAD SHATIN 7
5,33084,Quek Jian Yu,0,6.0,HEAD SHATIN 7
6,32629,Pong Nga Man,0,18.0,HEAD SHATIN 7
7,33346,So Shi Wang Oscar,0,15.75,HEAD SHATIN 7
8,33484,Lam Wang Chak,0,11.25,HEAD SHATIN 7
9,33483,Chiu Hau Ching,0,9.0,HEAD SHATIN 7
10,33347,Lo Lok Chin,0,12.0,HEAD SHATIN 7
11,33274,Li Yu Hou,0,12.0,HEAD SHATIN 7
1,33205,Li Oliver,0,23.25,Hong Kong Football Club 19
2,33207,Sheethal Kumar Palash,2,22.0,Hong Kong Football Club 19
4,33267,Chin Lachlan,11,15.6,Hong Kong Football Club 19
4,33212,Gooch Harry Charles,0,0.0,Hong Kong Football Club 19
5,33211,Kirpalani Shaun,14,14.5,Hong Kong Football Club 19
6,32917,Sheary Andrew,0,13.0,Hong Kong Football Club 19
7,33209,Lee Leonardo,15,14.4,Hong Kong Football Club 19
8,33258,Nihalani Aaran,0,15.0,Hong Kong Football Club 19
9,33213,Sheary Rachel,0,9.0,Hong Kong Football Club 19
10,33436,Zou Kevin Tianyi,0,15.0,Hong Kong Football Club 19
11,33462,Nihalani Kaiav,0,12.0,Hong Kong Football Club 19
12,33210,Kerperlani Shila,0,15.0,Hong Kong Football Club 19
2,32887,Zhang Zi Yin,7,18.0,i-Mask Advance Squash Club 13
3,33241,Liu Wen Jie Edward,0,7.5,i-Mask Advance Squash Club 13
4,32872,Chan Yu Si,0,0.0,i-Mask Advance Squash Club 13
5,33299,Fu Pak Kiu,9,16.5,i-Mask Advance Squash Club 13
6,33481,Ting Tin Yuet,0,6.0,i-Mask Advance Squash Club 13
7,33145,Chong Ho Ting Aiden,8,16.5,i-Mask Advance Squash Club 13
8,33193,Kwan Yuet Hayden,0,15.0,i-Mask Advance Squash Club 13
9,33277,Lui Nok Yin,23,6.0,i-Mask Advance Squash Club 13
10,33482,Ting Tin Yat,0,0.0,i-Mask Advance Squash Club 13
11,33308,Tang Tsz Lung,0,0.0,i-Mask Advance Squash Club 13
1,32597,Tang Ching Ho,16,13.67,KYS 2
2,33371,Hui Shing Lok,19,10.0,KYS 2
3,33017,Hui Lok Hin Adrian,0,0.0,KYS 2
4,33372,Leung Nok Yi,17,13.0,KYS 2
5,33370,Kwan Yu Ching,18,10.8,KYS 2
6,33373,Po Long Huen Mavis,21,7.0,KYS 2
7,33276,Lo Man Hay,0,3.0,KYS 2
8,32877,Ching Hoi Yen,25,1.8,KYS 2
1,30590,Chan Tsz Ming,1,23.67,North District Sport Association 2
2,32391,Ma Yuk Hei,0,0.0,North District Sport Association 2
3,33120,Lai Ming Wah,3,21.0,North District Sport Association 2
4,33365,Gan Yun Long Kenny,0,20.0,North District Sport Association 2
5,33337,Chow Maxwell,10,16.0,North District Sport Association 2
6,33511,Chan Yip Kwan,0,16.5,North District Sport Association 2
7,33015,Au Ka Wing,0,19.0,North District Sport Association 2
8,32997,Chiu Kam Lam,0,14.25,North District Sport Association 2
9,33418,Lo Wing Yan,0,12.0,North District Sport Association 2
10,33542,Leung Hok Man,20,9.6,North District Sport Association 2
1,32871,Ko Suet Icy,0,22.5,TNG 4
2,32765,Yim Man Ching,4,20.57,TNG 4
3,33143,Kwan Hei Ching,6,19.8,TNG 4
4,33358,Law Yu Sing Carter,12,15.5,TNG 4
5,33238,Luk Hei Man,13,15.0,TNG 4
6,33169,Cheung Sherine,22,6.75,TNG 4
7,33357,Cheung Yan Wing,24,5.4,TNG 4
8,33359,Cheung Pak Hin Milo,0,12.0,TNG 4
