Order,HKS No.,Name of Players,Ranking,Points,Team
1,15588,Chow Lap Ming,4,21.0,Friend Club 2
2,24839,Au Alex Ka Man,12,17.14,Friend Club 2
3,27774,Leung Eugene Chi Hang,28,9.5,Friend Club 2
4,25019,Yao Tang Fat Elbert,30,7.5,Friend Club 2
5,23713,Lau Alan Siu Lun,32,7.0,Friend Club 2
6,33419,Tao Jun,0,9.0,Friend Club 2
1,29657,Chan Siu Kwan,2,22.71,Friend Club 3
2,24690,Lee Roger Chi Lam,5,20.57,Friend Club 3
3,23476,Choi Kenny Wing Kin,8,19.29,Friend Club 3
4,24876,Wong Peter Chi Keung,0,6.0,Friend Club 3
5,25975,Shiu Ricky Kwok Leung,13,16.8,Friend Club 3
6,26529,Mong Hoi Ching Norman,0,11.25,Friend Club 3
7,17658,Au Yeung Kwok Wah,0,9.0,Friend Club 3
8,22427,Chang Willon Wing Leung,0,15.0,Friend Club 3
1,31428,Busteed Alex,7,19.88,Hong Kong Football Club 9A
2,30998,Leung Adco,15,15.0,Hong Kong Football Club 9A
3,19704,Reid Dallas,9,19.2,Hong Kong Football Club 9A
4,30113,Soo Gene,0,12.0,Hong Kong Football Club 9A
5,27097,Yu Hiu Yan Vanessa,11,18.0,Hong Kong Football Club 9A
6,26052,Wood Andrew,0,16.5,Hong Kong Football Club 9A
7,32202,Maloy Arthur,21,13.2,Hong Kong Football Club 9A
8,29507,Thompson John,0,9.0,Hong Kong Football Club 9A
9,30116,Padgaonkar Ashwin,0,9.0,Hong Kong Football Club 9A
10,31485,Osmund James,0,9.0,Hong Kong Football Club 9A
1,18169,* Lee Chun Kit Jackie,1,26.25,Hong Kong Football Club 9B
3,20200,Law Jack,19,13.8,Hong Kong Football Club 9B
4,19560,Chung Iris Suet Mei,0,14.0,Hong Kong Football Club 9B
5,32104,Tse Wing Yan Reanna,25,10.2,Hong Kong Football Club 9B
6,29290,Ting Philip Wai Man,0,15.0,Hong Kong Football Club 9B
7,8728,Fan William Ying Wai,0,10.0,Hong Kong Football Club 9B
8,28004,Lee Lawrence Chi Hung,0,0.0,Hong Kong Football Club 9B
9,24614,Ng Kien Hoon,0,9.0,Hong Kong Football Club 9B
10,19838,Choi Angel Chung Yin,31,7.12,Hong Kong Football Club 9B
11,30478,Kwong Wai Nga DoDo,0,0.0,Hong Kong Football Club 9B
12,25322,Li Charles Tak Kwong,0,8.0,Hong Kong Football Club 9B
1,17325,Poon Sunny Yat Sing,0,21.0,Old School Fellows
3,13037,Chiu Vincent Man Shun,6,20.0,Old School Fellows
4,30390,Dan John Kai Yiu,0,11.0,Old School Fellows
5,28551,* Poon Victor King Him,0,12.0,Old School Fellows
6,16720,Tam Ronnie Chi Kwong,0,12.0,Old School Fellows
8,24703,Yam Ken Luen Kai,0,6.0,Old School Fellows
9,22679,So Anthony Fuk Chi,0,10.5,Old School Fellows
10,30387,Sih Peter Wai Hang,34,6.0,Old School Fellows
10,27936,Chan Norman Tak Lam,0,0.0,Old School Fellows
11,16721,To Alva Yu Hung,0,0.0,Old School Fellows
12,28969,Kam Alex Kwong Fai,0,0.0,Old School Fellows
1,27277,Li Shun Yiu,3,21.86,Star River 1
2,29325,Yip Edmund Kin Man,18,13.88,Star River 1
3,24607,Kan Wai Ho,17,14.25,Star River 1
4,25155,Wong Chi Fai,0,6.75,Star River 1
5,12026,Leung Kwok Wai,0,10.5,Star River 1
6,21893,Leung King Kit,0,7.5,Star River 1
7,24294,Wong Ip Hing Paul,23,12.0,Star River 1
1,27153,Au Ming Chung Sampson,22,12.6,Target
2,25636,Hui Adrian Wai Hung,26,10.0,Target
3,23067,Chan Raymond Tsan Fai,29,7.8,Target
4,27463,Lee Tommy Yun Wah,33,6.5,Target
5,32371,Hui Tat Shing,0,0.0,Target
6,33366,Loh Zuo Jie,35,5.0,Target
7,29418,Wong King Yi Kimmy,0,0.0,Target
1,26601,Yuen Chi Ho Lawson,0,22.0,The Hong Kong Jockey Club D9
3,28110,Wang Patrick,0,13.0,The Hong Kong Jockey Club D9
4,27426,Lee Dennis Yuk Kai,0,18.75,The Hong Kong Jockey Club D9
5,20638,Wong John Ying Man,15,15.0,The Hong Kong Jockey Club D9
6,22729,Hsu Marvin,0,12.0,The Hong Kong Jockey Club D9
7,23204,Shum Hin Yeung Almond,0,16.0,The Hong Kong Jockey Club D9
8,22999,Ko Cecil,0,12.0,The Hong Kong Jockey Club D9
9,27092,Lam King Tak Douglas,0,15.0,The Hong Kong Jockey Club D9
10,29998,Woo Heng Che Stephen,0,12.0,The Hong Kong Jockey Club D9
11,23088,Tong Franco Sui Lun,0,12.0,The Hong Kong Jockey Club D9
11,8731,Ip Kenny Lau Chuen,0,0.0,The Hong Kong Jockey Club D9
12,4194,Tyen Cedric Kwong Hui,0,9.0,The Hong Kong Jockey Club D9
1,27882,Wong Ken Tat Tai,14,15.38,Twister 2
2,23755,Lee Connie Lok Man,10,19.12,Twister 2
3,26973,Lee Rachel Wing Yan,20,13.29,Twister 2
4,23534,Tsui Terence Hing Tai,24,10.2,Twister 2
5,29797,Wagh Ashwin,27,9.6,Twister 2
6,25116,Mo Peter Pui Hong,36,4.8,Twister 2
7,27376,Sze To Shiu Keung,0,9.0,Twister 2
