Order,HKS No.,Name of Players,Ranking,Points,Team
1,32576,Tang Yin Jit,0,19.5,Friend Club 7
2,32900,Leung Nok Hei,4,22.71,Friend Club 7
3,32807,Lai Kin Shun,19,16.5,Friend Club 7
4,32480,Cheung Ka Man,25,15.0,Friend Club 7
5,33063,Tang Ka Ki,29,13.5,Friend Club 7
6,33065,Wong Wai Chak,32,12.43,Friend Club 7
7,33372,Leung Nok Yi,36,10.71,Friend Club 7
1,32845,Yeung Tsung Chit Karson,2,24.6,Fusion Squash Club 3
2,32176,Hau Venus,0,20.0,Fusion Squash Club 3
3,32815,Li Ho Sum,20,16.2,Fusion Squash Club 3
4,32958,Tang Lok Yin,0,14.25,Fusion Squash Club 3
5,33715,Cheung Long Ching,15,17.5,Fusion Squash Club 3
6,32154,Cheng Yat Hin,0,10.5,Fusion Squash Club 3
7,32992,Chung Ka Yau,0,10.0,Fusion Squash Club 3
8,32844,Cheng August Huan-Chen,42,8.57,Fusion Squash Club 3
9,33242,Bai Aaron Hao Ren,27,14.4,Fusion Squash Club 3
1,32467,Law Hei Yau,9,19.67,Happy Squash Maru
2,32466,Law Ka To,7,20.67,Happy Squash Maru
3,32295,Leung Shun Wa Ethan,14,18.38,Happy Squash Maru
4,32158,Chan Anson Chi Him,13,18.75,Happy Squash Maru
5,32501,Kwan Wan Lok,16,17.14,Happy Squash Maru
6,32973,Lam Yin Tung,28,14.25,Happy Squash Maru
1,13079,Low Harold Yiu Keung,12,18.86,Kinetic 1
2,29999,Shea Chi Hang,0,15.0,Kinetic 1
3,30193,Lai Hau Ying,0,10.5,Kinetic 1
4,23911,Lam Dennis Wun Cheung,34,11.5,Kinetic 1
5,32210,Yeung Wing Hung,31,13.2,Kinetic 1
6,32441,Ling Yau Hang,43,6.6,Kinetic 1
7,32790,Chan Ching Long,44,6.43,Kinetic 1
8,32211,Tam Kai Chi,46,4.2,Kinetic 1
9,32969,Li Ka Hing,0,5.25,Kinetic 1
10,33716,Kong Carey Kar Ming,0,15.0,Kinetic 1
1,32071,Lo Ching Yin,10,19.5,Smart Squash 2
2,31999,Tang Tsun Man,10,19.5,Smart Squash 2
3,31997,Ng Kin Chun,23,16.0,Smart Squash 2
4,32853,Chung Ho Yin Will,18,16.5,Smart Squash 2
5,32712,Chok Wai Hin,40,9.86,Smart Squash 2
6,33018,Wong Chak Sum Ocean,35,11.25,Smart Squash 2
1,16145,Leung Chi Wang Christopher,0,16.5,United Services Recreation Club 4
2,33637,Webb James,0,13.0,United Services Recreation Club 4
3,32641,Yuen Tsz Long,33,11.57,United Services Recreation Club 4
4,32543,Wong Suet Ling,0,15.0,United Services Recreation Club 4
5,33667,Daigneavlt Christian,38,10.2,United Services Recreation Club 4
6,27086,Tilbrook Nicolas,0,15.0,United Services Recreation Club 4
7,33681,Yuen Ho Cheung Angus,0,9.0,United Services Recreation Club 4
8,32765,Yim Man Ching,0,7.5,United Services Recreation Club 4
9,32871,Ko Suet Icy,0,7.5,United Services Recreation Club 4
10,33733,Cassidy Cameron Michael,0,9.0,United Services Recreation Club 4
11,33143,Kwan Hei Ching,0,6.0,United Services Recreation Club 4
12,32731,Lee Tin Sam,0,1.5,United Services Recreation Club 4
1,32465,Wong Hon Yin Jeffrey,1,26.4,YLJR 2
2,32710,Chan Ho Hei,21,16.2,YLJR 2
3,32733,Ho Chun Hin,0,18.75,YLJR 2
4,32185,Tang Tsz Yin,22,16.0,YLJR 2
5,31825,Tang Tsz Shan,26,14.57,YLJR 2
6,33240,Li Hau Ching,30,13.2,YLJR 2
7,33170,Wong Yat Him,37,10.5,YLJR 2
8,32848,Lip Tsz Ho,39,10.12,YLJR 2
1,30953,Lin Wai Kit,17,16.67,Squashaholic
2,31007,Chow Wai Tsing,0,9.0,Squashaholic
3,31008,Lee Wing Yuen,41,9.0,Squashaholic
4,30956,Cheung Ka Ho,45,5.57,Squashaholic
5,31454,Li Ho Wai,47,3.6,Squashaholic
6,32256,Man Kwun Hung,0,0.0,Squashaholic
1,31716,Ng Tin Long Curtiss,6,21.33,i-Mask Advance Squash Club 4
2,32354,Wong Sze Yu,3,23.57,i-Mask Advance Squash Club 4
3,32087,Cheuk Kian Chun Yin,5,21.6,i-Mask Advance Squash Club 4
4,32215,Chung Sheung Chi Keith,8,20.5,i-Mask Advance Squash Club 4
5,32262,Pun Loch,0,18.75,i-Mask Advance Squash Club 4
6,32414,Chan Kai Lam,24,15.43,i-Mask Advance Squash Club 4
7,32002,Chan Hiu Wai,0,10.5,i-Mask Advance Squash Club 4
8,26219,Lee Winston Kim Wa,0,11.0,i-Mask Advance Squash Club 4
