Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Ko Toby Ho Yin,HKPF Squash Team,24.86,174,7,6,1,9,0.8571428571428571
2,Yim Man Ching,Kowloon Cricket Club 9,24.0,120,5,5,0,9,1.0
3,Trivedi Anirudh,i-Mask Advance Squash Club 3,22.0,132,6,4,2,9,0.6666666666666666
4,Tsang Yan Kiu,Kwai Tsing District Squash Club,21.0,105,5,5,0,9,1.0
5,Bedouillat Vincent,Centre Squash,20.5,123,6,4,2,9,0.6666666666666666
6,Wu Ka Ho,Kwai Tsing District Squash Club,20.4,102,5,3,2,9,0.6
7,Mong Hoi Ching Norman,Friend Club,19.5,117,6,5,1,9,0.8333333333333334
8,Cheung Ka Lun Alan,Centre Squash,19.5,117,6,3,3,9,0.5
9,Chu Raymond Wai Man,Friend Club,19.2,96,5,3,2,9,0.6
10,Lau Shing Chung Simon,HKPF Squash Team,19.0,114,6,5,1,9,0.8333333333333334
11,Cheung Alan Wing Lun,Friend Club,18.5,111,6,3,3,9,0.5
12,Jones Robert F.,Hong Kong Football Club 9,17.4,87,5,3,2,9,0.6
12,Ho Helen Sin Man,i-Mask Advance Squash Club 3,17.4,87,5,3,2,9,0.6
12,Choy Yuk Kwong Donnie,Kowloon Cricket Club 9,17.4,87,5,3,2,9,0.6
15,Ip Chun Keung,Friend Club,17.14,120,7,7,0,9,1.0
16,Wright Martin,Hong Kong Football Club 9,16.8,84,5,2,3,9,0.4
17,Wong Ho Sang,Friend Club,16.29,114,7,7,0,9,1.0
18,Chevaux Alexander,Centre Squash,16.2,81,5,3,2,9,0.6
19,Andersson Greger,The Best Group 2,15.6,78,5,1,4,9,0.2
20,Wan Pauline Yuen Ping,Kowloon Cricket Club 9,14.5,87,6,2,4,9,0.3333333333333333
21,Ho Gary Ming Fai,Kwai Tsing District Squash Club,12.86,90,7,1,6,9,0.14285714285714285
22,Li Keung Shing,Kwai Tsing District Squash Club,12.6,63,5,2,3,9,0.4
23,Hegde Vishal,i-Mask Advance Squash Club 3,12.43,87,7,4,3,9,0.5714285714285714
24,Kong Yuk Hang Jason,i-Mask Advance Squash Club 3,12.0,60,5,4,1,9,0.8
25,Wong Rames Wang Lung,The Best Group 2,12.0,60,5,0,5,9,0.0
26,Chan Gordon Yiu Cheong,Hong Kong Football Club 9,11.4,57,5,2,3,9,0.4
27,Watt Ka Chun Ringo,The Best Group 2,10.8,54,5,2,3,9,0.4
28,Chan Cheuk Kee,The Best Group 2,10.8,54,5,1,4,9,0.2
29,Wei Mia Lynn,Hong Kong Football Club 9,10.5,63,6,4,2,9,0.6666666666666666
30,Murray David,Hong Kong Football Club 9,10.2,51,5,1,4,9,0.2
31,Yip Kent Chi Bun,Kowloon Cricket Club 9,9.0,54,6,3,3,9,0.5
32,Lee Leo Chi Kin,Kwai Tsing District Squash Club,9.0,54,6,2,4,9,0.3333333333333333
33,Ren Jean-Philippe,Centre Squash,7.2,36,5,1,4,9,0.2
34,Siu William Chak Man,HKPF Squash Team,5.0,30,6,0,6,9,0.0
,Lee Lawrence Chi Hung,Hong Kong Football Club 9,19.0,57,3,1,2,9,0.3333333333333333
,Chow Kar Wah,Hong Kong Football Club 9,18.0,54,3,2,1,9,0.6666666666666666
,Lo Tin Lai,Kwai Tsing District Squash Club,18.0,18,1,1,0,9,1.0
,Leung Wai Ki,HKPF Squash Team,15.0,30,2,2,0,9,1.0
,Au Yeung Albert Tsz Hung,i-Mask Advance Squash Club 3,15.0,60,4,2,2,9,0.5
,Chan Ho Lam,HKPF Squash Team,15.0,45,3,2,1,9,0.6666666666666666
,Lee Hok Chung,Kwai Tsing District Squash Club,15.0,15,1,1,0,9,1.0
,Lam Chi Chris,Kwai Tsing District Squash Club,13.0,39,3,3,0,9,1.0
,Cheung Henry Hei Wa,i-Mask Advance Squash Club 3,13.0,39,3,1,2,9,0.3333333333333333
,Cheung Coco Oi Yan,Kowloon Cricket Club 9,12.75,51,4,4,0,9,1.0
,Chong Tin Hang,i-Mask Advance Squash Club 3,12.0,12,1,1,0,9,1.0
,Leung Eugene Chi Hang,The Best Group 2,12.0,36,3,1,2,9,0.3333333333333333
,Yau Raymond Chung Yiu,Friend Club,10.5,42,4,3,1,9,0.75
,Grillo Francesco,Centre Squash,10.5,42,4,2,2,9,0.5
,Curtil Ludovic,Centre Squash,10.5,21,2,1,1,9,0.5
