Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage,HKS No.
,Yau Ming Chi,Squashathon SocGen,18.0,18,1,1,0,13A,1.0,
,Yim Ka Chun,Squashathon SocGen,9.0,9,1,1,0,13A,1.0,
,Lee Kin Ping,Squashathon SocGen,3.0,3,1,0,1,13A,0.0,
,Tam Chuen Shing,Squashathon SocGen,0.0,0,1,0,1,13A,0.0,
,Chan Nathan Tze Ho,Squashathon One,13.5,27,2,2,0,13B,1.0,
,Chan Cruz Ananda,Fusion Squash Club 3,0.0,0,1,0,1,13B,0.0,
,Yeung Yurisa,Hong Kong Football Club 5,18.0,18,1,1,0,5,1.0,
,Rehman Khan Niaz,Kowloon Cricket Club 5,18.0,18,1,1,0,5,1.0,
,Cheng Victor Kwok Wai,Kowloon Cricket Club 5,15.0,15,1,1,0,5,1.0,
,Li Chi Hei,ERROR,12.0,12,1,1,0,5,1.0,
,Mak Chun Wai,ERROR,3.0,3,1,0,1,5,0.0,
,Yeung Himmy Cheuk Him,Hong Kong Football Club 5,3.0,3,1,0,1,5,0.0,
,Lee Chun Yuen Aiden,NEXUS 2,3.0,3,1,0,1,5,0.0,
,Chen Yat Kuen,NEXUS 2,0.0,0,1,0,1,5,0.0,
,Tsui Chi Hung,i-Mask Advance Squash Club 2,15.0,15,1,1,0,8A,1.0,
,Foo Chit Man,i-Mask Advance Squash Club 2,15.0,15,1,1,0,8A,1.0,
,Yam Tsz Hei,Sha Tin 3,15.0,15,1,1,0,8A,1.0,
,Chang Ka Hei,Sha Tin 3,15.0,15,1,1,0,8A,1.0,
,Yuen Lok Hang,Physical Chess 3,15.0,15,1,1,0,8A,1.0,
,Chan Alice Yin Ling,LONGVIEW,0.0,0,1,0,1,8A,0.0,
,Pun Teddy,Hong Kong Football Club M1A,21.0,21,1,1,0,Premier Masters,1.0,
,Achouch Frank,Hong Kong Cricket Club M1B,12.0,12,1,0,1,Premier Masters,0.0,
,Chan Chun Ho,Physical Chess 4,15.0,15,1,1,0,12,1.0,
,Xie Ho Yu,NEXUS 3,18.0,18,1,1,0,13C,1.0,
,Yu Hoi Yi,NEXUS 3,15.0,15,1,1,0,13C,1.0,
,Kirpalani Arun,Hong Kong Football Club 7B,15.0,15,1,1,0,7,1.0,
,Yung Kerri Ka Lam,Physical Chess 2,15.0,15,1,1,0,7,1.0,
,Cheng Kathy Ka Wai,i-Mask Advance Squash Club 1,9.0,9,1,1,0,7,1.0,
,Sun Ka Ip Justin Edmund,i-Mask Advance Squash Club 1,9.0,9,1,0,1,7,0.0,
,Chan Christine Yik Tat,Hong Kong Football Club 7B,0.0,0,1,0,1,7,0.0,
,Chong Tin Hang,i-Mask Advance Squash Club 1,0.0,0,1,0,1,7,0.0,
,Tsoi Cheuk Hin Kieran,Vitality Squash 1,3.0,3,1,0,1,8B,0.0,
,Cheng Hiu Tung,Fusion Squash Club 2,3.0,3,1,0,1,8B,0.0,
,Luk Argen,Vitality Squash 1,0.0,0,1,0,1,8B,0.0,
,Ho Peter,Kowloon Cricket Club 9,15.0,15,1,1,0,9,1.0,
,Tsang Yan Kiu,HKPF Squash Team,12.0,12,1,1,0,9,1.0,
,Ebrahim Adnan Azhar,Kowloon Cricket Club 9,9.0,9,1,0,1,9,0.0,
,Leung Joey Tsz Yu,i-Mask Advance Squash Club 3,3.0,3,1,0,1,9,0.0,
,Wong Yi Ching Mia,Hong Kong Football Club L3B,21.0,21,1,1,0,L3,1.0,
,Ho Suet Ying,Hong Kong Football Club L3B,18.0,36,2,2,0,L3,1.0,
,Lee Rachel Wing Yan,JESSICA L3,15.0,15,1,1,0,L3,1.0,
,Chiu Hau Yi,Hong Kong Football Club L3A,6.0,6,1,0,1,L3,0.0,
,Ho Simon Man Kai,Hong Kong Football Club M2B,15.0,15,1,1,0,M2,1.0,
,Ladharam Sunesh,Hong Kong Football Club M2A,15.0,15,1,1,0,M2,1.0,
,Ngo Joshua,Hong Kong Cricket Club M2,15.0,15,1,1,0,M2,1.0,
,Tong Foon Chi,United Services Recreation Club 3,15.0,15,1,1,0,10,1.0,
,Lee Hok Chung,Kwai Tsing District Squash Club,3.0,3,1,0,1,10,0.0,
,Zhang Fei,Bravo D10,0.0,0,1,0,1,10,0.0,
,Yip Tsz Ho,Kowloon Cricket Club 2,15.0,15,1,1,0,2,1.0,
,Cassidy Cameron Michael,Hong Kong Football Club 2B,12.0,12,1,1,0,2,1.0,
,Chan Shing Fung,Kowloon Cricket Club 3B,15.0,15,1,1,0,3,1.0,
,Lui Ka Ho Vincent,Hong Kong Football Club 4B,15.0,15,1,1,0,4,1.0,
,Cheung Ringo Hon Lam,Sha Tin 1,12.0,12,1,1,0,4,1.0,
,Yeung Ka Chun,X-Alpha 2,3.0,3,1,0,1,4,0.0,
,Le Hong Quang,Hong Kong Football Club 4A,0.0,0,1,0,1,4,0.0,
,Chung Kwong Hei,Electrify Squash Div 6,15.0,15,1,1,0,6,1.0,
,Freeman Neil,Hong Kong Cricket Club D6,9.0,9,1,1,0,6,1.0,
,Porter Darrell Lee,Hong Kong Football Club 6B,6.0,6,1,0,1,6,0.0,
,Au Siu Fai,Hong Kong Football Club 6B,0.0,0,1,0,1,6,0.0,
