Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
1,Chan Olivia,Martinis,25.29,177,7,7,0,12A,1.0
2,Au * Mario Kin Pong,North District Sports Association 1,24.33,219,9,9,0,12A,1.0
3,Yow Kenny Kin Ping,Martinis,22.24,378,17,16,1,12A,0.9411764705882353
4,Ternes Daniel,Revolution,21.5,258,12,8,4,12A,0.6666666666666666
5,Lee Ho Kwong,The Zero Squash Club D12,19.93,279,14,10,4,12A,0.7142857142857143
6,Lai Ming Chak Marco,Martinis,19.91,219,11,5,6,12A,0.45454545454545453
7,Ling Ariel Tsz Ting,The Zero Squash Club D12,18.46,240,13,6,7,12A,0.46153846153846156
8,Yiu Nicole Ming Ying,Martinis,18.43,258,14,12,2,12A,0.8571428571428571
9,Lau Kin Po Martin,Martinis,18.38,294,16,16,0,12A,1.0
10,Jessop David,Revolution,18.19,291,16,9,7,12A,0.5625
11,Janes Gareth,Revolution,18.0,126,7,6,1,12A,0.8571428571428571
12,Cheung Chung Ho Edmond,i-Mask Advance Squash Club 7,18.0,162,9,4,5,12A,0.4444444444444444
13,Lau Si Chun,i-Mask Advance Squash Club 7,17.57,246,14,8,6,12A,0.5714285714285714
14,Kwok Yin Ting,North District Sports Association 1,17.44,279,16,12,4,12A,0.75
15,Shea Chi Hang,Kinetic 3,17.33,312,18,6,12,12A,0.3333333333333333
16,Wong Ho Sang,The Zero Squash Club D12,16.8,252,15,8,7,12A,0.5333333333333333
17,Ng Tin Long Curtiss,i-Mask Advance Squash Club 7,16.06,273,17,10,7,12A,0.5882352941176471
18,Chung Sheung Chi Keith,i-Mask Advance Squash Club 7,14.4,216,15,10,5,12A,0.6666666666666666
19,Falcon Adam Hugo Agung,Hong Kong Cricket Club 7,14.18,156,11,8,3,12A,0.7272727272727273
20,Loo Long Hui,The Zero Squash Club D12,14.0,84,6,3,3,12A,0.5
21,Tang Tsun Man,Kinetic 3,13.93,195,14,10,4,12A,0.7142857142857143
22,Tse Bun Luen,North District Sports Association 1,13.93,195,14,2,12,12A,0.14285714285714285
23,Chib Rajeev,Hong Kong Cricket Club 7,13.71,96,7,1,6,12A,0.14285714285714285
24,Lai Nga Yin,Kinetic 3,13.36,147,11,10,1,12A,0.9090909090909091
25,Liu Sung Yan,i-Mask Advance Squash Club 7,13.29,186,14,10,4,12A,0.7142857142857143
26,Lam Dennis Wun Cheung,Kinetic 3,12.88,219,17,4,13,12A,0.23529411764705882
27,Lai Chun Sing,The Zero Squash Club D12,12.69,165,13,8,5,12A,0.6153846153846154
28,Robinson Caeli,Hong Kong Cricket Club 7,12.3,123,10,1,9,12A,0.1
29,Long Tatum,Hong Kong Cricket Club 7,11.82,201,17,5,12,12A,0.29411764705882354
30,Cheuk Kian Chun Yin,i-Mask Advance Squash Club 7,11.25,90,8,6,2,12A,0.75
31,Tam Wing Tung,Kinetic 3,11.08,144,13,7,6,12A,0.5384615384615384
32,Thomas Tristan Roland France,Revolution,10.33,93,9,6,3,12A,0.6666666666666666
33,Wotherspoon Kevin,Revolution,10.29,72,7,2,5,12A,0.2857142857142857
34,Yeung Wing Hung,Kinetic 3,10.2,102,10,2,8,12A,0.2
35,Leung Chun Wah,The Zero Squash Club D12,9.9,99,10,4,6,12A,0.4
